index,x_pos,y_pos
0,0,1
1,0,0
2,1,0
3,0,0
4,1,0
5,0,0
6,1,0
7,2,0
8,3,0
9,2,0
10,3,0
11,2,0
12,1,0
13,2,0
14,3,0
15,4,0
16,5,0
17,4,0
18,3,0
19,2,0
20,3,0
21,4,0
22,5,0
23,4,0
24,5,0
25,6,0
26,5,0
27,6,0
28,5,0
29,4,0
30,5,0
31,6,0
32,5,0
33,4,0
34,3,0
35,4,0
36,3,0
37,2,0
38,3,0
39,2,0
40,3,0
41,2,0
42,3,0
43,2,0
44,1,0
45,0,0
46,0,1
47,0,0
48,1,0
49,2,0
50,3,0
51,4,0
52,5,0
53,4,0
54,3,0
55,2,0
56,3,0
57,2,0
58,3,0
59,2,0
60,3,0
61,2,0
62,1,0
63,2,0
64,1,0
65,0,0
66,1,0
67,0,0
68,1,0
69,2,0
70,3,0
71,2,0
72,3,0
73,4,0
74,5,0
75,4,0
76,5,0
77,4,0
78,5,0
79,6,0
80,5,0
81,4,0
82,5,0
83,4,0
84,5,0
85,6,0
86,5,0
87,4,0
88,3,0
89,4,0
90,3,0
91,2,0
92,1,0
93,2,0
94,3,0
95,2,0
96,1,0
97,2,0
98,1,0
99,2,0
100,1,0
101,2,0
102,1,0
103,0,0
104,0,1
105,0,0
106,0,1
107,0,0
108,0,1
109,0,0
110,1,0
111,0,0
112,0,1
113,0,0
114,1,0
115,2,0
116,3,0
117,4,0
118,3,0
119,4,0
120,5,0
121,4,0
122,5,0
123,4,0
124,5,0
125,6,0
126,7,0
127,6,0
128,7,0
129,7,1
130,7,0
131,7,1
132,7,0
133,8,0
134,7,0
135,7,1
136,7,2
137,7,3
138,7,4
139,7,5
140,7,6
