index,x_pos,y_pos
0,0,1
1,0,2
2,0,1
3,0,0
4,0,1
5,0,0
6,1,0
7,0,0
8,0,1
9,0,0
10,1,0
11,2,0
12,3,0
13,4,0
14,3,0
15,4,0
16,5,0
17,6,0
18,7,0
19,6,0
20,7,0
21,8,0
22,7,0
23,6,0
24,7,0
25,6,0
26,7,0
27,7,1
28,7,2
29,7,1
30,7,0
31,7,1
32,7,0
33,6,0
34,7,0
35,6,0
36,7,0
37,8,0
38,9,0
39,8,0
40,7,0
41,8,0
42,7,0
43,7,1
44,7,0
45,8,0
46,7,0
47,7,1
48,7,2
49,7,1
50,7,2
51,7,3
52,7,4
53,7,5
54,7,6
55,7,7
56,8,7
57,7,7
58,7,8
59,7,7
60,8,7
61,9,7
62,8,7
63,9,7
64,10,7
65,11,7
66,12,7
67,11,7
68,12,7
69,11,7
70,12,7
71,11,7
72,10,7
73,9,7
74,10,7
75,9,7
76,10,7
77,11,7
78,12,7
79,11,7
80,12,7
81,13,7
82,14,7
83,15,7
84,16,7
85,15,7
86,16,7
87,15,7
88,14,7
89,15,7
90,16,7
91,17,7
92,16,7
93,17,7
94,18,7
95,19,7
96,20,7
97,21,7
98,21,6
99,21,7
100,21,6
101,21,5
102,21,6
103,21,7
104,21,6
105,21,7
106,21,6
107,21,7
108,21,8
109,21,7
110,20,7
111,21,7
112,20,7
113,19,7
114,20,7
115,21,7
116,22,7
117,23,7
118,24,7
119,25,7
120,26,7
121,27,7
122,28,7
123,29,7
124,30,7
125,31,7
126,30,7
127,29,7
128,30,7
129,31,7
130,30,7
131,31,7
132,32,7
133,33,7
134,32,7
135,33,7
136,34,7
137,33,7
138,34,7
139,35,7
140,34,7
141,35,7
142,35,8
143,35,7
144,35,6
145,35,7
146,36,7
147,35,7
148,35,6
149,35,5
150,35,6
151,35,5
152,35,4
153,35,3
154,35,4
155,35,3
156,35,4
157,35,5
158,35,4
159,35,3
160,35,4
161,35,5
162,35,4
163,35,5
164,35,4
165,35,5
166,35,6
167,35,7
168,36,7
169,37,7
170,38,7
171,39,7
172,38,7
173,37,7
174,36,7
175,35,7
176,36,7
177,37,7
178,38,7
179,37,7
180,38,7
181,39,7
182,38,7
183,37,7
184,36,7
185,35,7
186,35,8
187,35,9
188,35,8
189,35,7
190,36,7
191,35,7
192,34,7
193,35,7
194,34,7
195,35,7
196,35,6
197,35,7
198,35,8
199,35,7
200,35,6
201,35,5
202,35,4
203,35,3
204,35,2
205,35,1
206,35,2
207,35,1
208,35,0
209,36,0
210,37,0
211,36,0
212,35,0
213,36,0
214,37,0
215,36,0
216,35,0
217,34,0
218,33,0
219,32,0
220,33,0
221,32,0
222,31,0
223,30,0
224,31,0
225,32,0
226,31,0
227,32,0
228,31,0
229,30,0
230,31,0
231,32,0
232,33,0
233,32,0
234,33,0
235,34,0
236,33,0
237,34,0
238,35,0
239,36,0
240,37,0
241,36,0
242,35,0
243,36,0
244,35,0
245,35,1
246,35,2
247,35,1
248,35,0
249,34,0
250,33,0
251,32,0
252,31,0
253,32,0
254,33,0
255,32,0
256,31,0
257,30,0
258,29,0
259,28,0
260,28,1
261,28,2
262,28,1
263,28,2
264,28,3
265,28,2
266,28,3
267,28,4
268,28,3
269,28,4
270,28,3
271,28,2
272,28,3
273,28,2
274,28,3
275,28,4
276,28,5
277,28,6
278,28,7
279,29,7
280,30,7
281,29,7
282,30,7
283,31,7
284,32,7
285,33,7
286,34,7
287,33,7
288,32,7
289,33,7
290,34,7
291,33,7
292,32,7
293,31,7
294,32,7
295,31,7
296,30,7
297,31,7
298,30,7
299,29,7
300,30,7
301,31,7
302,30,7
303,31,7
304,30,7
305,31,7
306,32,7
307,33,7
308,32,7
309,33,7
310,34,7
311,33,7
312,34,7
313,35,7
314,34,7
315,33,7
316,34,7
317,35,7
318,36,7
319,37,7
320,38,7
321,37,7
322,38,7
323,37,7
324,36,7
325,37,7
326,38,7
327,39,7
328,38,7
329,37,7
330,38,7
331,37,7
332,38,7
333,39,7
334,38,7
335,37,7
336,38,7
337,37,7
338,38,7
339,37,7
340,36,7
341,37,7
342,38,7
343,39,7
344,40,7
345,39,7
346,40,7
347,41,7
348,40,7
349,41,7
350,42,7
351,42,6
352,42,5
353,42,4
354,42,5
355,42,6
356,42,7
357,41,7
358,42,7
359,42,8
360,42,9
361,42,8
362,42,7
363,42,8
364,42,9
365,42,10
366,42,9
367,42,10
368,42,9
369,42,8
370,42,9
371,42,10
372,42,11
