index,x_pos,y_pos
0,31,21
1,30,21
2,29,21
3,28,21
4,27,21
5,28,21
6,27,21
7,26,21
8,27,21
9,28,21
10,28,20
11,28,21
12,28,22
13,28,23
14,28,22
15,28,23
16,28,24
17,28,25
18,28,26
19,28,25
20,28,24
21,28,25
22,28,26
23,28,27
24,28,26
25,28,25
26,28,24
27,28,23
28,28,24
29,28,23
30,28,22
31,28,23
32,28,24
33,28,23
34,28,22
35,28,21
36,27,21
37,28,21
38,28,22
39,28,21
40,28,20
41,28,21
42,28,22
43,28,21
44,28,22
45,28,23
46,28,24
47,28,23
48,28,22
49,28,21
50,28,20
51,28,19
52,28,20
53,28,21
54,28,22
55,28,23
56,28,24
57,28,23
58,28,24
59,28,23
60,28,22
61,28,23
62,28,22
63,28,23
64,28,22
65,28,21
66,28,22
67,28,21
68,28,22
69,28,23
70,28,22
71,28,21
72,28,22
73,28,23
74,28,24
75,28,23
76,28,22
77,28,23
78,28,24
79,28,25
80,28,24
81,28,25
82,28,24
83,28,23
84,28,22
85,28,23
86,28,24
87,28,23
88,28,22
89,28,23
90,28,22
91,28,23
92,28,22
93,28,21
94,28,22
95,28,23
96,28,24
97,28,23
98,28,24
99,28,23
100,28,22
101,28,21
102,28,22
103,28,21
104,29,21
105,28,21
106,28,22
107,28,21
108,27,21
109,28,21
110,29,21
111,28,21
112,28,20
113,28,19
114,28,18
115,28,17
116,28,16
117,28,17
118,28,16
119,28,17
120,28,18
121,28,17
122,28,18
123,28,19
124,28,20
125,28,21
126,28,22
127,28,23
128,28,24
129,28,25
130,28,24
131,28,25
132,28,26
133,28,25
134,28,24
135,28,25
136,28,24
137,28,23
138,28,22
139,28,23
140,28,22
141,28,23
142,28,22
143,28,21
144,28,22
145,28,23
146,28,24
147,28,25
148,28,26
149,28,27
150,28,26
151,28,27
152,28,26
153,28,27
154,28,28
155,27,28
156,28,28
157,29,28
158,30,28
159,31,28
160,32,28
161,33,28
162,34,28
163,35,28
164,34,28
165,33,28
166,32,28
167,31,28
168,32,28
169,31,28
170,30,28
171,31,28
172,32,28
173,33,28
174,34,28
175,33,28
176,34,28
177,35,28
178,34,28
179,35,28
180,35,27
181,35,28
182,34,28
183,33,28
184,34,28
185,33,28
186,32,28
187,33,28
188,32,28
189,33,28
190,32,28
191,33,28
192,34,28
193,35,28
194,35,27
195,35,28
196,35,27
197,35,28
198,35,27
199,35,26
200,35,27
201,35,28
202,36,28
203,37,28
204,38,28
205,39,28
206,40,28
207,41,28
208,40,28
209,41,28
210,42,28
211,42,27
212,42,26
213,42,25
214,42,26
215,42,27
216,42,26
217,42,25
218,42,26
219,42,25
220,42,26
221,42,27
222,42,26
223,42,25
224,42,26
225,42,27
226,42,28
227,42,29
228,42,30
229,42,29
230,42,28
231,42,27
232,42,26
233,42,25
234,42,24
235,42,25
236,42,26
237,42,25
238,42,26
239,42,25
240,42,26
241,42,25
242,42,24
243,42,25
244,42,24
245,42,25
246,42,26
247,42,27
248,42,28
249,41,28
250,40,28
251,39,28
252,40,28
253,41,28
254,42,28
255,42,27
256,42,28
257,41,28
258,42,28
259,42,29
260,42,28
261,42,27
262,42,28
263,42,29
264,42,28
265,42,27
266,42,26
267,42,25
268,42,26
269,42,25
270,42,26
271,42,25
272,42,26
273,42,25
274,42,26
275,42,25
276,42,26
277,42,25
278,42,26
279,42,27
280,42,28
281,42,27
282,42,28
283,41,28
284,42,28
285,42,29
286,42,30
287,42,29
288,42,28
289,41,28
290,42,28
291,41,28
292,42,28
293,42,27
294,42,28
295,42,29
296,42,28
297,42,29
298,42,28
299,42,27
300,42,28
301,42,27
302,42,28
303,41,28
304,40,28
305,41,28
306,42,28
307,42,27
308,42,26
309,42,25
310,42,26
311,42,25
312,42,24
313,42,25
314,42,24
315,42,25
316,42,26
317,42,27
318,42,28
319,42,27
320,42,28
321,42,29
322,42,30
323,42,31
324,42,32
325,42,31
326,42,30
327,42,31
328,42,30
329,42,29
330,42,28
331,42,29
332,42,28
333,42,27
334,42,26
335,42,27
336,42,28
337,42,29
338,42,30
339,42,29
340,42,28
341,42,27
342,42,28
343,42,27
344,42,26
345,42,25
346,42,24
347,42,25
348,42,26
349,42,27
350,42,28
351,42,29
352,42,30
353,42,31
354,42,30
355,42,31
356,42,30
357,42,29
358,42,28
359,41,28
360,42,28
361,42,27
362,42,26
363,42,25
364,42,26
365,42,25
366,42,26
367,42,25
368,42,24
369,42,23
370,42,22
371,42,23
372,42,24
373,42,25
374,42,26
375,42,27
376,42,26
377,42,25
378,42,26
379,42,27
380,42,26
381,42,25
382,42,26
383,42,27
384,42,26
385,42,25
386,42,26
387,42,25
388,42,24
389,42,25
390,42,24
391,42,25
392,42,24
393,42,25
394,42,26
395,42,25
396,42,26
397,42,27
398,42,28
399,42,27
400,42,26
401,42,25
402,42,26
403,42,25
404,42,26
405,42,25
406,42,26
407,42,25
408,42,24
409,42,23
410,42,22
411,42,23
412,42,22
413,42,21
414,42,20
415,42,21
416,42,20
417,42,21
418,42,22
419,42,23
420,42,24
421,42,25
422,42,26
423,42,27
424,42,26
425,42,25
426,42,26
427,42,25
428,42,24
429,42,23
430,42,24
431,42,25
432,42,26
433,42,27
434,42,26
435,42,27
436,42,26
437,42,25
438,42,26
439,42,27
440,42,26
441,42,25
442,42,24
443,42,25
444,42,24
445,42,25
446,42,24
447,42,25
448,42,26
449,42,27
450,42,26
451,42,27
452,42,26
453,42,25
454,42,26
455,42,25
456,42,26
457,42,27
458,42,26
459,42,25
460,42,24
461,42,25
462,42,26
463,42,25
464,42,26
465,42,27
466,42,26
467,42,27
468,42,26
469,42,25
470,42,24
471,42,25
472,42,26
473,42,25
474,42,26
475,42,27
476,42,26
477,42,27
478,42,26
479,42,27
480,42,26
481,42,27
482,42,26
483,42,25
484,42,26
485,42,25
486,42,26
487,42,25
488,42,26
489,42,27
490,42,26
491,42,27
492,42,26
493,42,25
494,42,24
495,42,25
496,42,26
497,42,25
498,42,26
499,42,25
500,42,26
501,42,25
502,42,26
503,42,25
504,42,26
505,42,25
506,42,26
507,42,27
508,42,26
509,42,25
510,42,26
511,42,25
512,42,24
513,42,23
514,42,24
515,42,25
516,42,26
517,42,27
518,42,26
519,42,27
520,42,26
521,42,27
522,42,28
523,41,28
524,42,28
525,41,28
526,42,28
527,42,27
528,42,26
529,42,25
530,42,26
531,42,27
532,42,26
533,42,25
534,42,26
535,42,25
536,42,26
537,42,27
538,42,28
539,41,28
540,42,28
541,42,27
542,42,26
543,42,25
544,42,24
545,42,25
546,42,26
547,42,27
548,42,26
549,42,25
550,42,24
551,42,25
552,42,26
553,42,25
554,42,26
555,42,25
556,42,24
557,42,23
558,42,22
559,42,21
560,41,21
561,42,21
562,42,22
563,42,21
564,42,22
565,42,23
566,42,24
567,42,25
568,42,26
569,42,25
570,42,24
571,42,25
572,42,26
573,42,27
574,42,26
575,42,25
576,42,26
577,42,25
578,42,26
579,42,25
580,42,26
581,42,25
582,42,26
583,42,25
584,42,26
585,42,25
586,42,24
587,42,25
588,42,24
589,42,25
590,42,26
591,42,27
592,42,28
593,42,27
594,42,26
595,42,27
596,42,26
597,42,25
598,42,26
599,42,25
600,42,24
601,42,25
602,42,24
603,42,25
604,42,24
605,42,23
606,42,24
607,42,25
608,42,24
609,42,23
610,42,24
611,42,23
612,42,24
613,42,25
614,42,24
615,42,25
616,42,24
617,42,25
618,42,24
619,42,25
620,42,26
621,42,25
622,42,24
623,42,25
624,42,24
625,42,25
626,42,24
627,42,23
628,42,22
629,42,23
630,42,22
631,42,23
632,42,22
633,42,23
634,42,24
635,42,23
636,42,24
637,42,25
638,42,26
639,42,25
640,42,24
641,42,23
642,42,24
643,42,23
644,42,22
645,42,23
646,42,24
647,42,25
648,42,24
649,42,25
650,42,26
651,42,27
652,42,26
653,42,27
654,42,26
655,42,25
