index,x_pos,y_pos
0,1,0
1,2,0
2,1,0
3,2,0
4,1,0
5,2,0
6,3,0
7,2,0
8,3,0
9,4,0
10,3,0
11,4,0
12,5,0
13,4,0
14,5,0
15,4,0
16,5,0
17,6,0
18,7,0
19,8,0
20,9,0
21,8,0
22,9,0
23,8,0
24,9,0
25,10,0
26,9,0
27,8,0
28,7,0
29,8,0
30,7,0
31,8,0
32,7,0
33,7,1
34,7,2
35,7,3
36,7,4
37,7,5
38,7,6
39,7,5
40,7,4
41,7,5
42,7,6
43,7,7
44,8,7
45,9,7
46,10,7
47,11,7
48,12,7
49,13,7
50,14,7
51,15,7
52,14,7
53,13,7
54,14,7
55,14,8
56,14,7
57,14,6
58,14,5
59,14,6
60,14,5
61,14,6
62,14,7
63,14,8
64,14,7
65,14,6
66,14,7
67,15,7
68,14,7
69,15,7
70,16,7
71,17,7
72,16,7
73,15,7
74,16,7
75,15,7
76,16,7
77,17,7
78,16,7
79,15,7
80,14,7
81,14,8
82,14,9
83,14,8
84,14,9
85,14,10
86,14,9
87,14,8
88,14,7
89,14,8
90,14,9
91,14,8
92,14,9
93,14,8
94,14,9
95,14,10
96,14,9
97,14,10
98,14,11
99,14,10
100,14,9
101,14,8
102,14,9
103,14,10
104,14,9
105,14,10
106,14,9
107,14,10
108,14,11
109,14,10
110,14,11
111,14,12
112,14,13
113,14,14
114,14,15
115,14,16
116,14,17
117,14,16
118,14,17
119,14,16
120,14,15
121,14,14
122,15,14
123,14,14
124,14,13
125,14,14
126,14,15
127,14,16
128,14,17
129,14,18
130,14,19
131,14,20
132,14,21
133,15,21
134,14,21
135,15,21
136,16,21
137,17,21
138,18,21
139,19,21
140,20,21
141,19,21
142,20,21
143,21,21
