index,x_pos,y_pos
0,0,1
1,0,0
2,1,0
3,0,0
4,1,0
5,2,0
6,3,0
7,4,0
8,3,0
9,4,0
10,3,0
11,4,0
12,3,0
13,4,0
14,5,0
15,4,0
16,3,0
17,2,0
18,1,0
19,2,0
20,1,0
21,2,0
22,3,0
23,2,0
24,1,0
25,0,0
26,1,0
27,2,0
28,3,0
29,2,0
30,3,0
31,2,0
32,3,0
33,4,0
34,5,0
35,4,0
36,5,0
37,6,0
38,7,0
39,7,1
40,7,2
41,7,3
42,7,2
43,7,1
44,7,2
45,7,1
46,7,0
47,7,1
48,7,2
49,7,1
50,7,2
51,7,1
52,7,0
53,7,1
54,7,2
55,7,1
56,7,2
57,7,1
58,7,0
59,7,1
60,7,2
61,7,1
62,7,0
63,8,0
64,7,0
65,7,1
66,7,2
67,7,3
68,7,2
69,7,3
70,7,2
71,7,3
72,7,4
73,7,5
74,7,6
75,7,7
76,8,7
77,7,7
78,7,8
79,7,9
80,7,10
81,7,9
82,7,10
83,7,11
84,7,12
85,7,13
86,7,14
87,7,15
88,7,16
89,7,15
90,7,16
91,7,17
92,7,18
93,7,19
94,7,20
95,7,19
96,7,18
97,7,19
98,7,18
99,7,19
100,7,20
101,7,19
102,7,18
103,7,19
104,7,18
105,7,19
106,7,20
107,7,21
108,8,21
109,9,21
110,10,21
111,11,21
112,12,21
113,13,21
114,14,21
115,15,21
116,16,21
117,17,21
118,18,21
119,19,21
120,20,21
121,19,21
122,18,21
123,17,21
124,18,21
125,17,21
126,18,21
127,19,21
128,18,21
129,19,21
130,18,21
131,17,21
132,18,21
133,19,21
134,20,21
135,21,21
