,x_pos,y_pos,z_pos
0,1,0,-10
1,0,0,-10
2,0,1,-10
3,0,2,-10
4,0,3,-10
5,0,4,-10
6,0,5,-10
7,0,6,-10
8,0,7,-10
9,1,7,-10
10,2,7,-10
11,1,7,-10
12,2,7,-10
13,3,7,-10
14,4,7,-10
15,5,7,-10
16,6,7,-10
17,7,7,-10
18,6,7,-10
19,7,7,-10
20,8,7,-10
21,7,7,-10
22,6,7,-10
23,7,7,-10
24,8,7,-10
25,9,7,-10
26,10,7,-10
27,11,7,-10
28,12,7,-10
29,13,7,-10
30,14,7,-10
31,15,7,-10
32,16,7,-10
33,15,7,-10
34,16,7,-10
35,15,7,-10
36,16,7,-10
37,15,7,-10
38,16,7,-10
39,15,7,-10
40,14,7,-10
41,14,8,-10
42,14,9,-10
43,14,10,-10
44,14,11,-10
45,14,12,-10
46,14,11,-10
47,14,12,-10
48,14,13,-10
49,14,14,-10
50,13,14,-10
51,14,14,-10
52,13,14,-10
53,12,14,-10
54,13,14,-10
55,12,14,-10
56,13,14,-10
57,14,14,-10
58,15,14,-10
59,14,14,-10
60,13,14,-10
61,14,14,-10
62,14,15,-10
63,14,16,-10
64,14,17,-10
65,14,18,-10
66,14,17,-10
67,14,18,-10
68,14,17,-10
69,14,16,-10
70,14,15,-10
71,14,14,-10
72,14,15,-10
73,14,16,-10
74,14,17,-10
75,14,18,-10
76,14,19,-10
77,14,20,-10
78,14,21,-10
79,14,22,-10
80,14,23,-10
81,14,24,-10
82,14,23,-10
83,14,24,-10
84,14,23,-10
85,14,22,-10
86,14,23,-10
87,14,22,-10
88,14,21,-10
89,15,21,-10
90,14,21,-10
91,15,21,-10
92,16,21,-10
93,17,21,-10
94,18,21,-10
95,19,21,-10
96,18,21,-10
97,19,21,-10
98,20,21,-10
99,19,21,-10
100,20,21,-10
101,19,21,-10
102,20,21,-10
103,21,21,-10
