index,x_pos,y_pos
0,0,1
1,0,2
2,0,1
3,0,0
4,1,0
5,2,0
6,3,0
7,4,0
8,3,0
9,4,0
10,5,0
11,4,0
12,3,0
13,4,0
14,5,0
15,6,0
16,7,0
17,7,1
18,7,0
19,8,0
20,7,0
21,6,0
22,5,0
23,4,0
24,3,0
25,2,0
26,3,0
27,4,0
28,3,0
29,2,0
30,1,0
31,2,0
32,1,0
33,2,0
34,1,0
35,0,0
36,1,0
37,2,0
38,1,0
39,2,0
40,1,0
41,2,0
42,1,0
43,0,0
44,1,0
45,2,0
46,1,0
47,0,0
48,1,0
49,2,0
50,3,0
51,4,0
52,5,0
53,4,0
54,3,0
55,4,0
56,3,0
57,2,0
58,3,0
59,4,0
60,5,0
61,6,0
62,5,0
63,4,0
64,3,0
65,4,0
66,3,0
67,2,0
68,3,0
69,4,0
70,5,0
71,4,0
72,3,0
73,2,0
74,1,0
75,2,0
76,1,0
77,2,0
78,1,0
79,0,0
80,1,0
81,2,0
82,3,0
83,4,0
84,3,0
85,2,0
86,3,0
87,4,0
88,3,0
89,2,0
90,1,0
91,0,0
92,1,0
93,0,0
94,0,1
95,0,2
96,0,3
97,0,4
98,0,3
99,0,4
100,0,3
101,0,4
102,0,5
103,0,6
104,0,7
105,0,6
106,0,7
107,1,7
108,2,7
109,3,7
110,4,7
111,5,7
112,6,7
113,7,7
114,7,8
115,7,7
116,7,6
117,7,7
118,6,7
119,7,7
120,8,7
121,9,7
122,10,7
123,9,7
124,10,7
125,11,7
126,12,7
127,11,7
128,10,7
129,9,7
130,10,7
131,11,7
132,12,7
133,11,7
134,12,7
135,11,7
136,10,7
137,11,7
138,10,7
139,9,7
140,10,7
141,9,7
142,10,7
143,11,7
144,12,7
145,13,7
146,12,7
147,13,7
148,14,7
149,13,7
150,12,7
151,13,7
152,14,7
153,14,8
154,14,9
155,14,10
156,14,9
157,14,10
158,14,11
159,14,12
160,14,13
161,14,14
162,14,15
163,14,14
164,14,15
165,14,14
166,14,15
167,14,14
168,14,15
169,14,14
170,13,14
171,14,14
172,13,14
173,12,14
174,11,14
175,12,14
176,13,14
177,12,14
178,13,14
179,14,14
180,15,14
181,16,14
182,15,14
183,14,14
184,14,15
185,14,14
186,13,14
187,12,14
188,11,14
189,12,14
190,13,14
191,14,14
192,13,14
193,14,14
194,13,14
195,14,14
196,14,15
197,14,16
198,14,17
199,14,16
200,14,17
201,14,16
202,14,15
203,14,16
204,14,15
205,14,16
206,14,15
207,14,14
208,14,15
209,14,16
210,14,15
211,14,16
212,14,15
213,14,16
214,14,17
215,14,16
216,14,17
217,14,16
218,14,15
219,14,14
220,14,13
221,14,12
222,14,13
223,14,12
224,14,11
225,14,10
226,14,11
227,14,10
228,14,11
229,14,12
230,14,13
231,14,12
232,14,11
233,14,12
234,14,11
235,14,12
236,14,11
237,14,12
238,14,13
239,14,12
240,14,11
241,14,12
242,14,13
243,14,14
244,14,15
245,14,16
246,14,15
247,14,16
248,14,17
249,14,18
250,14,19
251,14,20
252,14,21
253,14,20
254,14,19
255,14,18
256,14,19
257,14,18
258,14,17
259,14,18
260,14,17
261,14,16
262,14,17
263,14,18
264,14,19
265,14,18
266,14,17
267,14,18
268,14,19
269,14,20
270,14,19
271,14,18
272,14,19
273,14,18
274,14,19
275,14,20
276,14,21
277,15,21
278,16,21
279,17,21
280,18,21
281,19,21
282,20,21
283,19,21
284,18,21
285,19,21
286,20,21
287,21,21
288,21,20
289,21,19
290,21,20
291,21,21
292,21,22
293,21,23
294,21,24
295,21,23
296,21,24
297,21,25
298,21,24
299,21,25
300,21,24
301,21,23
302,21,22
303,21,21
304,21,22
305,21,21
306,20,21
307,19,21
308,20,21
309,19,21
310,20,21
311,21,21
312,22,21
313,23,21
314,22,21
315,23,21
316,22,21
317,23,21
318,24,21
319,25,21
320,24,21
321,25,21
322,26,21
323,25,21
324,26,21
325,25,21
326,26,21
327,27,21
328,26,21
329,25,21
330,26,21
331,27,21
332,28,21
333,29,21
334,30,21
335,31,21
