index,x_pos,y_pos,z_pos
0,0,1,-20
1,0,2,-20
2,0,3,-20
3,0,4,-20
4,0,3,-20
5,0,2,-20
6,0,1,-20
7,0,0,-20
8,0,1,-20
9,0,0,-20
10,0,1,-20
11,0,2,-20
12,0,1,-20
13,0,2,-20
14,0,1,-20
15,0,0,-20
16,1,0,-20
17,2,0,-20
18,3,0,-20
19,4,0,-20
20,5,0,-20
21,6,0,-20
22,5,0,-20
23,4,0,-20
24,3,0,-20
25,2,0,-20
26,3,0,-20
27,4,0,-20
28,5,0,-20
29,6,0,-20
30,7,0,-20
31,6,0,-20
32,5,0,-20
33,6,0,-20
34,5,0,-20
35,4,0,-20
36,3,0,-20
37,2,0,-20
38,1,0,-20
39,2,0,-20
40,1,0,-20
41,0,0,-20
42,0,1,-20
43,0,0,-20
44,1,0,-20
45,0,0,-20
46,1,0,-20
47,2,0,-20
48,1,0,-20
49,2,0,-20
50,3,0,-20
51,2,0,-20
52,1,0,-20
53,0,0,-20
54,0,1,-20
55,0,0,-20
56,1,0,-20
57,2,0,-20
58,3,0,-20
59,4,0,-20
60,3,0,-20
61,4,0,-20
62,5,0,-20
63,6,0,-20
64,7,0,-20
65,7,1,-20
66,7,0,-20
67,6,0,-20
68,5,0,-20
69,4,0,-20
70,3,0,-20
71,2,0,-20
72,3,0,-20
73,2,0,-20
74,3,0,-20
75,4,0,-20
76,3,0,-20
77,4,0,-20
78,3,0,-20
79,2,0,-20
80,1,0,-20
81,0,0,-20
82,1,0,-20
83,0,0,-20
84,0,1,-20
85,0,0,-20
86,1,0,-20
87,2,0,-20
88,1,0,-20
89,2,0,-20
90,1,0,-20
91,0,0,-20
92,0,1,-20
93,0,2,-20
94,0,3,-20
95,0,2,-20
96,0,3,-20
97,0,4,-20
98,0,5,-20
99,0,4,-20
100,0,3,-20
101,0,4,-20
102,0,3,-20
103,0,4,-20
104,0,3,-20
105,0,2,-20
106,0,3,-20
107,0,2,-20
108,0,1,-20
109,0,0,-20
110,1,0,-20
111,0,0,-20
112,0,1,-20
113,0,2,-20
114,0,1,-20
115,0,0,-20
116,1,0,-20
117,0,0,-20
118,1,0,-20
119,0,0,-20
120,0,1,-20
121,0,0,-20
122,0,1,-20
123,0,0,-20
124,1,0,-20
125,2,0,-20
126,3,0,-20
127,4,0,-20
128,3,0,-20
129,2,0,-20
130,1,0,-20
131,2,0,-20
132,1,0,-20
133,2,0,-20
134,3,0,-20
135,2,0,-20
136,3,0,-20
137,4,0,-20
138,5,0,-20
139,4,0,-20
140,5,0,-20
141,6,0,-20
142,7,0,-20
143,7,1,-20
144,7,2,-20
145,7,3,-20
146,7,2,-20
147,7,3,-20
148,7,4,-20
149,7,5,-20
150,7,4,-20
151,7,3,-20
152,7,4,-20
153,7,5,-20
154,7,4,-20
155,7,5,-20
156,7,6,-20
157,7,7,-20
158,7,8,-20
159,7,7,-20
160,7,6,-20
161,7,7,-20
162,7,6,-20
163,7,7,-20
164,7,8,-20
165,7,9,-20
166,7,10,-20
167,7,11,-20
168,7,12,-20
169,7,13,-20
170,7,12,-20
171,7,11,-20
172,7,12,-20
173,7,11,-20
174,7,12,-20
175,7,13,-20
176,7,14,-20
177,8,14,-20
178,9,14,-20
179,8,14,-20
180,9,14,-20
181,10,14,-20
182,9,14,-20
183,10,14,-20
184,11,14,-20
185,12,14,-20
186,11,14,-20
187,10,14,-20
188,11,14,-20
189,10,14,-20
190,11,14,-20
191,10,14,-20
192,11,14,-20
193,12,14,-20
194,13,14,-20
195,14,14,-20
196,13,14,-20
197,14,14,-20
198,14,15,-20
199,14,16,-20
200,14,17,-20
201,14,16,-20
202,14,15,-20
203,14,16,-20
204,14,17,-20
205,14,18,-20
206,14,17,-20
207,14,18,-20
208,14,19,-20
209,14,20,-20
210,14,21,-20
211,15,21,-20
212,16,21,-20
213,17,21,-20
214,16,21,-20
215,15,21,-20
216,14,21,-20
217,13,21,-20
218,12,21,-20
219,13,21,-20
220,14,21,-20
