index,x_pos,y_pos,z_pos
0,1,0,-5
1,2,0,-5
2,1,0,-5
3,2,0,-5
4,1,0,-5
5,2,0,-5
6,3,0,-5
7,2,0,-5
8,3,0,-5
9,4,0,-5
10,3,0,-5
11,4,0,-5
12,5,0,-5
13,4,0,-5
14,5,0,-5
15,4,0,-5
16,5,0,-5
17,6,0,-5
18,7,0,-5
19,8,0,-5
20,9,0,-5
21,8,0,-5
22,9,0,-5
23,8,0,-5
24,9,0,-5
25,10,0,-5
26,9,0,-5
27,8,0,-5
28,7,0,-5
29,8,0,-5
30,7,0,-5
31,8,0,-5
32,7,0,-5
33,7,1,-5
34,7,2,-5
35,7,3,-5
36,7,4,-5
37,7,5,-5
38,7,6,-5
39,7,5,-5
40,7,4,-5
41,7,5,-5
42,7,6,-5
43,7,7,-5
44,8,7,-5
45,9,7,-5
46,10,7,-5
47,11,7,-5
48,12,7,-5
49,13,7,-5
50,14,7,-5
51,15,7,-5
52,14,7,-5
53,13,7,-5
54,14,7,-5
55,14,8,-5
56,14,7,-5
57,14,6,-5
58,14,5,-5
59,14,6,-5
60,14,5,-5
61,14,6,-5
62,14,7,-5
63,14,8,-5
64,14,7,-5
65,14,6,-5
66,14,7,-5
67,15,7,-5
68,14,7,-5
69,15,7,-5
70,16,7,-5
71,17,7,-5
72,16,7,-5
73,15,7,-5
74,16,7,-5
75,15,7,-5
76,16,7,-5
77,17,7,-5
78,16,7,-5
79,15,7,-5
80,14,7,-5
81,14,8,-5
82,14,9,-5
83,14,8,-5
84,14,9,-5
85,14,10,-5
86,14,9,-5
87,14,8,-5
88,14,7,-5
89,14,8,-5
90,14,9,-5
91,14,8,-5
92,14,9,-5
93,14,8,-5
94,14,9,-5
95,14,10,-5
96,14,9,-5
97,14,10,-5
98,14,11,-5
99,14,10,-5
100,14,9,-5
101,14,8,-5
102,14,9,-5
103,14,10,-5
104,14,9,-5
105,14,10,-5
106,14,9,-5
107,14,10,-5
108,14,11,-5
109,14,10,-5
110,14,11,-5
111,14,12,-5
112,14,13,-5
113,14,14,-5
114,14,15,-5
115,14,16,-5
116,14,17,-5
117,14,16,-5
118,14,17,-5
119,14,16,-5
120,14,15,-5
121,14,14,-5
122,15,14,-5
123,14,14,-5
124,14,13,-5
125,14,14,-5
126,14,15,-5
127,14,16,-5
128,14,17,-5
129,14,18,-5
130,14,19,-5
131,14,20,-5
132,14,21,-5
133,15,21,-5
134,14,21,-5
135,15,21,-5
136,16,21,-5
137,17,21,-5
138,18,21,-5
139,19,21,-5
140,20,21,-5
141,19,21,-5
142,20,21,-5
143,21,21,-5
