index,x_pos,y_pos,z_pos
0,1,0,-15
1,2,0,-15
2,1,0,-15
3,2,0,-15
4,3,0,-15
5,4,0,-15
6,5,0,-15
7,6,0,-15
8,7,0,-15
9,8,0,-15
10,9,0,-15
11,10,0,-15
12,9,0,-15
13,10,0,-15
14,11,0,-15
15,10,0,-15
16,11,0,-15
17,12,0,-15
18,13,0,-15
19,12,0,-15
20,11,0,-15
21,10,0,-15
22,11,0,-15
23,12,0,-15
24,11,0,-15
25,10,0,-15
26,11,0,-15
27,10,0,-15
28,11,0,-15
29,12,0,-15
30,11,0,-15
31,12,0,-15
32,13,0,-15
33,14,0,-15
34,13,0,-15
35,12,0,-15
36,11,0,-15
37,10,0,-15
38,9,0,-15
39,8,0,-15
40,7,0,-15
41,6,0,-15
42,5,0,-15
43,6,0,-15
44,7,0,-15
45,8,0,-15
46,9,0,-15
47,10,0,-15
48,9,0,-15
49,8,0,-15
50,9,0,-15
51,10,0,-15
52,11,0,-15
53,12,0,-15
54,11,0,-15
55,10,0,-15
56,11,0,-15
57,12,0,-15
58,13,0,-15
59,14,0,-15
60,15,0,-15
61,16,0,-15
62,15,0,-15
63,14,0,-15
64,13,0,-15
65,14,0,-15
66,14,1,-15
67,14,0,-15
68,14,1,-15
69,14,0,-15
70,13,0,-15
71,12,0,-15
72,13,0,-15
73,14,0,-15
74,15,0,-15
75,16,0,-15
76,15,0,-15
77,16,0,-15
78,17,0,-15
79,18,0,-15
80,17,0,-15
81,16,0,-15
82,17,0,-15
83,16,0,-15
84,17,0,-15
85,16,0,-15
86,17,0,-15
87,16,0,-15
88,15,0,-15
89,14,0,-15
90,15,0,-15
91,14,0,-15
92,15,0,-15
93,16,0,-15
94,17,0,-15
95,18,0,-15
96,19,0,-15
97,18,0,-15
98,19,0,-15
99,18,0,-15
100,19,0,-15
101,20,0,-15
102,21,0,-15
103,21,1,-15
104,21,0,-15
105,20,0,-15
106,21,0,-15
107,21,1,-15
108,21,0,-15
109,21,1,-15
110,21,2,-15
111,21,1,-15
112,21,2,-15
113,21,3,-15
114,21,4,-15
115,21,5,-15
116,21,6,-15
117,21,7,-15
118,21,6,-15
119,21,7,-15
120,21,8,-15
121,21,9,-15
122,21,8,-15
123,21,9,-15
124,21,10,-15
125,21,11,-15
126,21,12,-15
127,21,13,-15
128,21,14,-15
129,22,14,-15
130,21,14,-15
131,21,13,-15
132,21,14,-15
133,21,13,-15
134,21,14,-15
135,22,14,-15
136,23,14,-15
137,22,14,-15
138,21,14,-15
139,20,14,-15
140,19,14,-15
141,18,14,-15
142,19,14,-15
143,20,14,-15
144,21,14,-15
145,22,14,-15
146,21,14,-15
147,21,15,-15
148,21,14,-15
149,22,14,-15
150,23,14,-15
151,24,14,-15
152,23,14,-15
153,22,14,-15
154,23,14,-15
155,22,14,-15
156,23,14,-15
157,24,14,-15
158,23,14,-15
159,24,14,-15
160,23,14,-15
161,22,14,-15
162,21,14,-15
163,21,15,-15
164,21,16,-15
165,21,17,-15
166,21,18,-15
167,21,19,-15
168,21,18,-15
169,21,19,-15
170,21,20,-15
171,21,21,-15
