index,x_pos,y_pos,z_pos
0,35,17,-12
1,35,17,-12
2,35,17,-12
3,35,17,-12
4,35,17,-12
5,35,17,-12
6,35,17,-12
7,35,17,-12
8,35,17,-12
9,35,17,-12
10,35,16,-12
11,35,15,-12
12,35,15,-12
13,35,16,-12
14,35,16,-12
15,35,16,-12
16,35,17,-12
17,35,17,-12
18,35,17,-12
19,35,18,-12
20,35,18,-12
21,35,17,-12
22,35,17,-12
23,35,18,-12
24,35,18,-12
25,35,18,-12
26,35,18,-12
27,35,17,-12
28,35,17,-12
29,35,18,-12
30,35,18,-12
31,35,17,-12
32,35,17,-12
33,35,17,-12
34,35,16,-12
35,35,16,-12
36,35,16,-12
37,35,15,-12
38,35,14,-12
39,35,13,-12
40,35,13,-12
41,35,13,-12
42,35,13,-12
43,35,14,-12
44,35,14,-12
45,35,14,-12
46,35,15,-12
47,35,16,-12
48,35,17,-12
49,35,17,-12
50,35,17,-12
51,35,18,-12
52,35,18,-12
53,35,18,-12
54,35,18,-12
55,35,17,-12
56,35,17,-12
57,35,17,-12
58,35,17,-12
59,35,18,-12
60,35,18,-12
61,35,17,-12
62,35,16,-12
63,35,16,-12
64,35,16,-12
65,35,16,-12
66,35,17,-12
67,35,18,-12
68,35,18,-12
69,35,17,-12
70,35,17,-12
71,35,18,-12
72,35,18,-12
73,35,18,-12
74,35,18,-12
75,35,17,-12
76,35,16,-12
77,35,16,-12
78,35,17,-12
79,35,17,-12
80,35,17,-12
81,35,17,-12
82,35,17,-12
83,35,17,-12
84,35,17,-12
85,35,17,-12
86,35,17,-12
87,35,18,-12
88,35,18,-12
89,35,17,-12
90,35,17,-12
91,35,17,-12
92,35,16,-12
93,35,15,-12
94,35,15,-12
95,35,16,-12
96,35,17,-12
97,35,18,-12
98,35,19,-12
99,35,19,-12
100,35,18,-12
101,35,18,-12
102,35,19,-12
103,35,20,-12
104,35,20,-12
105,35,19,-12
106,35,19,-12
107,35,19,-12
108,35,18,-12
109,35,17,-12
110,35,17,-12
111,35,17,-12
112,35,17,-12
113,35,17,-12
114,35,17,-12
115,35,18,-12
116,35,18,-12
117,35,17,-12
118,35,17,-12
119,35,17,-12
120,35,17,-12
121,35,17,-12
122,35,16,-12
123,35,16,-12
124,35,17,-12
125,35,17,-12
126,35,17,-12
127,35,17,-12
128,35,17,-12
129,35,17,-12
130,35,17,-12
131,35,17,-12
132,35,17,-12
133,35,17,-12
134,35,17,-12
135,35,17,-12
136,35,17,-12
137,35,17,-12
138,35,17,-12
139,35,18,-12
140,35,19,-12
141,35,19,-12
142,35,19,-12
143,35,20,-12
144,35,21,-12
145,36,21,-12
146,37,21,-12
147,37,21,-12
148,36,21,-12
149,36,21,-12
150,37,21,-12
151,37,21,-12
152,36,21,-12
153,35,21,-12
154,35,21,-12
155,35,21,-12
156,35,20,-12
157,35,20,-12
158,35,21,-12
159,35,21,-12
160,35,20,-12
161,35,20,-12
162,35,20,-12
163,35,19,-12
164,35,19,-12
165,35,19,-12
166,35,18,-12
167,35,17,-12
168,35,17,-12
169,35,17,-12
170,35,17,-12
171,35,17,-12
172,35,17,-12
173,35,17,-12
174,35,17,-12
175,35,17,-12
176,35,17,-12
177,35,17,-12
178,35,16,-12
179,35,16,-12
180,35,16,-12
181,35,16,-12
182,35,17,-12
183,35,17,-12
184,35,17,-12
185,35,18,-12
186,35,19,-12
187,35,19,-12
188,35,18,-12
189,35,17,-12
190,35,17,-12
191,35,17,-12
192,35,17,-12
193,35,17,-12
194,35,16,-12
195,35,16,-12
196,35,16,-12
197,35,16,-12
198,35,17,-12
199,35,17,-12
200,35,17,-12
