index,x_pos,y_pos
0,1,0
1,0,0
2,0,1
3,0,2
4,0,1
5,0,2
6,0,1
7,0,2
8,0,1
9,0,2
10,0,3
11,0,4
12,0,5
13,0,4
14,0,5
15,0,4
16,0,3
17,0,2
18,0,3
19,0,2
20,0,3
21,0,2
22,0,1
23,0,0
24,1,0
25,0,0
26,1,0
27,0,0
28,1,0
29,2,0
30,1,0
31,2,0
32,1,0
33,2,0
34,3,0
35,4,0
36,5,0
37,6,0
38,7,0
39,8,0
40,7,0
41,8,0
42,7,0
43,8,0
44,7,0
45,8,0
46,9,0
47,10,0
48,9,0
49,10,0
50,11,0
51,12,0
52,13,0
53,14,0
54,15,0
55,14,0
56,15,0
57,14,0
58,14,1
59,14,0
60,13,0
61,12,0
62,13,0
63,12,0
64,13,0
65,12,0
66,13,0
67,12,0
68,13,0
69,12,0
70,13,0
71,14,0
72,15,0
73,14,0
74,14,1
75,14,2
76,14,1
77,14,2
78,14,3
