index,x_pos,y_pos
0,1,0
1,0,0
2,1,0
3,0,0
4,0,1
5,0,2
6,0,1
7,0,2
8,0,3
9,0,4
10,0,5
11,0,6
12,0,7
13,0,8
14,0,9
15,0,10
16,0,9
17,0,10
18,0,11
19,0,12
20,0,11
21,0,10
22,0,9
23,0,8
24,0,9
25,0,10
26,0,11
27,0,10
28,0,11
29,0,10
30,0,11
31,0,12
32,0,13
33,0,12
34,0,13
35,0,14
36,0,13
37,0,14
38,1,14
39,2,14
40,3,14
41,2,14
42,3,14
43,2,14
44,3,14
45,4,14
46,3,14
47,2,14
48,3,14
49,4,14
50,5,14
51,6,14
52,7,14
53,6,14
54,7,14
55,6,14
56,7,14
57,7,15
58,7,16
59,7,15
60,7,16
61,7,17
62,7,16
63,7,15
64,7,16
65,7,17
66,7,16
67,7,15
68,7,16
69,7,17
70,7,16
71,7,17
72,7,16
73,7,17
74,7,18
75,7,19
76,7,18
77,7,17
78,7,16
79,7,17
80,7,18
81,7,19
82,7,20
83,7,21
84,8,21
85,9,21
86,10,21
87,11,21
