index,x_pos,y_pos
0,25,0
1,24,0
2,23,0
3,22,0
4,21,0
5,21,1
6,21,0
7,22,0
8,23,0
9,24,0
10,23,0
11,24,0
12,23,0
13,24,0
14,23,0
15,22,0
16,23,0
17,22,0
18,21,0
19,21,1
20,21,2
21,21,1
22,21,0
23,21,1
24,21,2
25,21,3
26,21,2
27,21,3
28,21,4
29,21,5
30,21,6
31,21,5
32,21,6
33,21,7
34,21,6
35,21,7
36,21,6
37,21,7
38,20,7
39,19,7
40,18,7
41,17,7
42,16,7
43,15,7
44,14,7
45,15,7
46,16,7
47,17,7
48,16,7
49,17,7
50,18,7
51,17,7
52,16,7
53,15,7
54,14,7
55,14,6
56,14,7
57,13,7
58,14,7
59,15,7
60,14,7
61,13,7
62,12,7
63,11,7
64,10,7
65,11,7
66,10,7
67,9,7
68,10,7
69,9,7
70,8,7
71,7,7
72,6,7
73,5,7
74,4,7
75,3,7
76,4,7
77,5,7
78,4,7
79,5,7
80,4,7
81,3,7
82,2,7
83,3,7
84,4,7
85,3,7
86,2,7
87,3,7
88,2,7
89,3,7
90,2,7
91,3,7
92,4,7
93,3,7
94,2,7
95,1,7
96,2,7
97,3,7
98,2,7
99,1,7
100,0,7
101,0,8
102,0,9
103,0,8
104,0,9
105,0,8
106,0,9
107,0,8
108,0,7
109,1,7
110,0,7
111,1,7
112,0,7
113,0,6
114,0,5
115,0,4
116,0,5
117,0,4
118,0,5
119,0,4
120,0,3
121,0,2
122,0,3
123,0,4
124,0,3
125,0,4
126,0,5
127,0,4
128,0,5
129,0,4
130,0,3
131,0,2
132,0,3
133,0,2
134,0,3
135,0,4
136,0,3
137,0,2
138,0,1
139,0,2
140,0,1
141,0,2
142,0,1
143,0,0
144,1,0
145,2,0
146,1,0
147,0,0
148,0,1
149,0,2
150,0,3
151,0,4
152,0,5
153,0,6
154,0,7
155,0,6
156,0,5
157,0,6
158,0,7
159,0,8
160,0,7
161,1,7
162,0,7
163,1,7
164,2,7
165,3,7
166,4,7
167,3,7
168,2,7
169,3,7
170,2,7
171,1,7
172,0,7
173,0,8
174,0,9
175,0,10
176,0,11
177,0,10
178,0,11
179,0,12
180,0,13
181,0,12
182,0,13
183,0,12
184,0,11
185,0,10
186,0,9
187,0,8
188,0,7
189,0,8
190,0,9
191,0,10
192,0,11
193,0,10
194,0,11
195,0,12
196,0,13
197,0,12
198,0,13
199,0,14
200,1,14
201,2,14
202,1,14
203,2,14
204,1,14
205,0,14
206,0,15
207,0,14
208,1,14
209,0,14
210,0,15
211,0,14
212,0,15
213,0,16
214,0,17
215,0,18
216,0,17
217,0,18
218,0,19
219,0,20
220,0,21
221,1,21
222,2,21
223,1,21
224,0,21
225,0,20
226,0,19
227,0,20
228,0,21
229,0,22
230,0,23
231,0,24
232,0,25
233,0,26
234,0,25
235,0,26
236,0,25
237,0,24
238,0,23
239,0,22
240,0,23
241,0,24
242,0,23
243,0,24
244,0,25
245,0,24
246,0,25
247,0,26
248,0,27
249,0,28
250,0,29
251,0,30
252,0,31
253,0,32
254,0,33
255,0,34
256,0,35
257,1,35
258,2,35
259,3,35
260,4,35
261,5,35
262,6,35
263,5,35
264,4,35
265,5,35
266,4,35
267,5,35
268,6,35
269,7,35
270,7,36
271,7,35
272,7,34
273,7,35
274,8,35
275,9,35
276,8,35
277,9,35
278,8,35
279,9,35
280,10,35
281,11,35
282,10,35
283,11,35
284,10,35
285,9,35
286,10,35
287,9,35
288,10,35
289,11,35
290,10,35
291,9,35
292,8,35
293,7,35
294,7,36
295,7,35
296,7,36
297,7,35
298,6,35
299,7,35
300,7,34
301,7,35
302,7,36
303,7,35
304,7,34
305,7,35
306,6,35
307,5,35
308,6,35
309,5,35
310,4,35
311,5,35
312,6,35
313,5,35
314,6,35
315,7,35
316,7,34
317,7,35
318,6,35
319,7,35
320,8,35
321,7,35
322,8,35
323,7,35
324,7,36
325,7,35
326,8,35
327,9,35
328,8,35
329,7,35
330,7,34
331,7,35
332,8,35
333,9,35
334,10,35
335,11,35
336,10,35
337,11,35
338,12,35
339,13,35
