episode, time, reward
0,832.000000,-522.688662
1,2465.000000,-1355.558957
2,862.000000,-477.695465
3,2084.000000,-1155.972562
4,264.000000,-132.559864
5,350.000000,-180.579365
6,539.000000,-296.122222
7,779.000000,-434.176644
8,548.000000,-321.624263
9,1451.000000,-785.329025
10,765.000000,-356.173469
11,406.000000,-192.592063
12,244.000000,-117.555329
13,427.000000,-212.096825
14,529.000000,-290.119955
15,453.000000,-254.102721
16,374.000000,-192.584807
17,517.000000,-242.117234
18,309.000000,-146.070068
19,267.000000,-152.060544
20,476.000000,-246.607937
21,156.000000,-69.535374
22,271.000000,-125.061451
23,167.000000,-80.037868
24,166.000000,-57.537642
25,279.000000,-143.063265
26,425.000000,-200.096372
27,192.000000,-96.543537
28,260.000000,-135.558957
29,149.000000,-77.033787
30,573.000000,-293.129932
31,192.000000,-99.543537
32,507.000000,-299.114966
33,544.000000,-288.623356
34,554.000000,-297.625624
35,296.000000,-156.567120
36,277.000000,-143.062812
37,221.000000,-116.050113
38,148.000000,-90.533560
39,208.000000,-87.547166
40,307.000000,-155.069615
41,285.000000,-143.064626
42,217.000000,-113.049206
43,148.000000,-60.533560
44,222.000000,-120.550340
45,260.000000,-147.558957
46,239.000000,-122.054195
47,266.000000,-147.560317
48,209.000000,-110.047392
49,291.000000,-143.065986
50,258.000000,-111.558503
51,149.000000,-77.033787
52,325.000000,-185.073696
53,248.000000,-102.556236
54,248.000000,-114.556236
55,157.000000,-80.035601
56,196.000000,-105.544444
57,255.000000,-152.057823
58,206.000000,-108.546712
59,215.000000,-125.048753
60,282.000000,-150.563946
61,218.000000,-123.549433
62,97.000000,-41.021995
63,154.000000,-78.534921
64,365.000000,-191.082766
65,245.000000,-134.055556
66,253.000000,-116.057370
67,171.000000,-92.038776
68,339.000000,-188.076871
69,163.000000,-74.036961
70,178.000000,-90.540363
71,232.000000,-126.552608
72,205.000000,-95.046485
73,221.000000,-98.050113
74,199.000000,-116.045125
75,232.000000,-132.552608
76,224.000000,-108.550794
77,130.000000,-69.529478
78,162.000000,-81.536735
79,213.000000,-104.048299
80,195.000000,-107.044218
81,116.000000,-63.526304
82,131.000000,-74.029705
83,127.000000,-62.028798
84,102.000000,-24.523129
85,152.000000,-72.534467
86,162.000000,-69.536735
87,91.000000,-32.020635
88,108.000000,-30.524490
89,226.000000,-105.551247
90,140.000000,-60.531746
91,177.000000,-77.040136
92,100.000000,-33.522676
93,86.000000,-33.519501
94,100.000000,-48.522676
95,128.000000,-60.529025
96,136.000000,-48.530839
97,131.000000,-38.029705
98,85.000000,-32.019274
99,102.000000,-30.523129
100,75.000000,-29.017007
101,123.000000,-53.027891
102,131.000000,-50.029705
103,76.000000,-24.517234
104,132.000000,-54.529932
105,110.000000,-39.524943
106,139.000000,-50.031519
107,99.000000,-47.022449
108,95.000000,-29.021542
109,87.000000,-41.019728
110,128.000000,-51.529025
111,99.000000,-38.022449
112,84.000000,-21.519048
113,86.000000,-24.519501
114,77.000000,-11.017460
115,83.000000,-35.018821
116,86.000000,-33.519501
117,70.000000,-12.515873
118,81.000000,-29.018367
119,64.000000,-27.514512
120,97.000000,-26.021995
121,85.000000,-35.019274
122,99.000000,-44.022449
123,88.000000,-33.519955
124,79.000000,-26.017914
125,71.000000,-26.016100
126,98.000000,-39.522222
127,83.000000,-35.018821
128,81.000000,-26.018367
129,94.000000,-30.521315
130,85.000000,-26.019274
131,126.000000,-42.528571
132,120.000000,-36.527211
133,91.000000,-29.020635
134,73.000000,-20.016553
135,78.000000,-18.517687
136,90.000000,-45.520408
137,66.000000,-18.514966
138,98.000000,-36.522222
139,59.000000,-8.013379
140,79.000000,-26.017914
141,77.000000,-29.017460
142,88.000000,-36.519955
143,75.000000,-23.017007
144,75.000000,-23.017007
145,89.000000,-29.020181
146,66.000000,-24.514966
147,90.000000,-24.520408
148,89.000000,-17.020181
149,73.000000,-20.016553
150,83.000000,-23.018821
151,63.000000,-17.014286
152,60.000000,-9.513605
153,68.000000,-12.515420
154,79.000000,-23.017914
155,52.000000,-9.511791
156,69.000000,-26.015646
157,78.000000,-21.517687
158,73.000000,-23.016553
159,80.000000,-27.518141
160,79.000000,-20.017914
161,51.000000,-8.011565
162,83.000000,-14.018821
163,78.000000,-21.517687
164,81.000000,-20.018367
165,76.000000,-12.517234
166,73.000000,-17.016553
167,63.000000,-17.014286
168,59.000000,-11.013379
169,70.000000,-15.515873
170,70.000000,-12.515873
171,78.000000,-18.517687
172,82.000000,-12.518594
173,79.000000,-23.017914
174,75.000000,-14.017007
175,60.000000,-9.513605
176,77.000000,-20.017460
177,71.000000,-29.016100
178,58.000000,-15.513152
179,60.000000,-21.513605
180,55.000000,-8.012472
181,78.000000,-12.517687
182,45.000000,-2.010204
183,77.000000,-23.017460
184,84.000000,-18.519048
185,52.000000,-9.511791
186,60.000000,-15.513605
187,65.000000,-17.014739
188,67.000000,-14.015193
189,55.000000,-8.012472
190,88.000000,-21.519955
191,64.000000,-18.514512
192,67.000000,-14.015193
193,71.000000,-23.016100
194,59.000000,-8.013379
195,73.000000,-17.016553
196,68.000000,-9.515420
197,61.000000,-17.013832
198,56.000000,-12.512698
199,61.000000,-11.013832
200,80.000000,-21.518141
201,56.000000,-15.512698
202,64.000000,-12.514512
203,55.000000,-14.012472
204,67.000000,-11.015193
205,63.000000,-14.014286
206,56.000000,-15.512698
207,51.000000,-8.011565
208,46.000000,-3.510431
209,65.000000,-8.014739
210,51.000000,-11.011565
211,52.000000,-9.511791
212,49.000000,-8.011111
213,56.000000,-3.512698
214,56.000000,-15.512698
215,49.000000,-5.011111
216,49.000000,-8.011111
217,65.000000,-14.014739
218,57.000000,-8.012925
219,61.000000,-8.013832
220,51.000000,-11.011565
221,53.000000,-11.012018
222,71.000000,-8.016100
223,54.000000,-12.512245
224,49.000000,-2.011111
225,57.000000,-14.012925
226,56.000000,-6.512698
227,55.000000,-11.012472
228,55.000000,-8.012472
229,53.000000,-11.012018
230,61.000000,-8.013832
231,56.000000,-12.512698
232,65.000000,-17.014739
233,56.000000,-6.512698
234,60.000000,-15.513605
235,59.000000,-2.013379
236,47.000000,-5.010658
237,54.000000,-12.512245
238,53.000000,-5.012018
239,53.000000,-11.012018
240,56.000000,-6.512698
241,53.000000,-5.012018
242,50.000000,-3.511338
243,58.000000,-6.513152
244,55.000000,-5.012472
245,54.000000,-6.512245
246,54.000000,-3.512245
247,48.000000,-6.510884
248,61.000000,-14.013832
249,53.000000,-8.012018
250,50.000000,-0.511338
251,59.000000,-11.013379
252,53.000000,-11.012018
253,47.000000,-5.010658
254,52.000000,-3.511791
255,42.000000,-0.509524
256,48.000000,-3.510884
257,51.000000,-2.011565
258,51.000000,-5.011565
259,55.000000,-5.012472
260,47.000000,-5.010658
261,60.000000,-12.513605
262,45.000000,-5.010204
263,63.000000,-14.014286
264,54.000000,-12.512245
