index,x_pos,y_pos
0,0,1
1,0,2
2,0,1
3,0,0
4,1,0
5,2,0
6,1,0
7,0,0
8,1,0
9,2,0
10,1,0
11,2,0
12,1,0
13,2,0
14,3,0
15,4,0
16,5,0
17,6,0
18,5,0
19,6,0
20,7,0
21,6,0
22,7,0
23,7,1
24,7,2
25,7,1
26,7,0
27,8,0
28,9,0
29,8,0
30,9,0
31,8,0
32,7,0
33,8,0
34,9,0
35,8,0
36,7,0
37,8,0
38,7,0
39,6,0
40,7,0
41,7,1
42,7,0
43,8,0
44,9,0
45,10,0
46,11,0
47,10,0
48,11,0
49,12,0
50,11,0
51,12,0
52,13,0
53,14,0
54,13,0
55,14,0
56,14,1
57,14,2
58,14,1
59,14,0
60,15,0
61,14,0
62,14,1
63,14,2
64,14,1
65,14,2
66,14,1
67,14,0
68,14,1
69,14,2
70,14,1
71,14,0
72,15,0
73,16,0
74,15,0
75,16,0
76,15,0
77,16,0
78,17,0
79,18,0
80,17,0
81,18,0
82,19,0
83,20,0
84,21,0
85,21,1
86,21,0
87,20,0
88,19,0
89,20,0
90,19,0
91,18,0
92,19,0
93,20,0
94,21,0
95,20,0
96,21,0
97,21,1
98,21,0
99,21,1
100,21,0
101,21,1
102,21,2
103,21,3
104,21,4
105,21,5
106,21,6
107,21,5
108,21,6
109,21,5
110,21,6
111,21,7
112,20,7
113,19,7
114,20,7
115,21,7
116,20,7
117,21,7
118,21,6
119,21,7
120,21,6
121,21,7
122,20,7
123,21,7
124,21,6
125,21,5
126,21,4
127,21,5
128,21,6
129,21,5
130,21,4
131,21,5
132,21,4
133,21,5
134,21,6
135,21,7
136,22,7
137,21,7
138,21,6
139,21,7
140,20,7
141,21,7
142,21,8
143,21,9
144,21,10
145,21,9
146,21,8
147,21,9
148,21,8
149,21,9
150,21,10
151,21,11
