index,x_pos,y_pos,z_pos
0,1,0,-7
1,2,0,-7
2,3,0,-7
3,4,0,-7
4,3,0,-7
5,4,0,-7
6,3,0,-7
7,4,0,-7
8,5,0,-7
9,6,0,-7
10,7,0,-7
11,8,0,-7
12,9,0,-7
13,10,0,-7
14,11,0,-7
15,12,0,-7
16,11,0,-7
17,12,0,-7
18,13,0,-7
19,12,0,-7
20,11,0,-7
21,10,0,-7
22,11,0,-7
23,12,0,-7
24,11,0,-7
25,10,0,-7
26,11,0,-7
27,12,0,-7
28,11,0,-7
29,12,0,-7
30,11,0,-7
31,12,0,-7
32,13,0,-7
33,12,0,-7
34,13,0,-7
35,12,0,-7
36,11,0,-7
37,12,0,-7
38,11,0,-7
39,10,0,-7
40,9,0,-7
41,8,0,-7
42,9,0,-7
43,8,0,-7
44,9,0,-7
45,10,0,-7
46,11,0,-7
47,12,0,-7
48,13,0,-7
49,12,0,-7
50,11,0,-7
51,12,0,-7
52,13,0,-7
53,14,0,-7
54,13,0,-7
55,14,0,-7
56,13,0,-7
57,14,0,-7
58,14,1,-7
59,14,0,-7
60,15,0,-7
61,16,0,-7
62,15,0,-7
63,14,0,-7
64,15,0,-7
65,16,0,-7
66,15,0,-7
67,16,0,-7
68,15,0,-7
69,16,0,-7
70,15,0,-7
71,14,0,-7
72,15,0,-7
73,14,0,-7
74,14,1,-7
75,14,2,-7
76,14,3,-7
77,14,2,-7
78,14,1,-7
79,14,0,-7
80,13,0,-7
81,12,0,-7
82,13,0,-7
83,12,0,-7
84,13,0,-7
85,14,0,-7
86,15,0,-7
87,16,0,-7
88,15,0,-7
89,16,0,-7
90,17,0,-7
91,16,0,-7
92,15,0,-7
93,16,0,-7
94,17,0,-7
95,16,0,-7
96,17,0,-7
97,16,0,-7
98,17,0,-7
99,16,0,-7
100,17,0,-7
101,18,0,-7
102,17,0,-7
103,18,0,-7
104,19,0,-7
105,18,0,-7
106,19,0,-7
107,20,0,-7
108,19,0,-7
109,20,0,-7
110,19,0,-7
111,18,0,-7
112,17,0,-7
113,18,0,-7
114,17,0,-7
115,18,0,-7
116,19,0,-7
117,18,0,-7
118,17,0,-7
119,16,0,-7
120,15,0,-7
121,16,0,-7
122,15,0,-7
123,16,0,-7
124,17,0,-7
125,16,0,-7
126,17,0,-7
127,18,0,-7
128,19,0,-7
129,18,0,-7
130,17,0,-7
131,18,0,-7
132,19,0,-7
133,20,0,-7
134,19,0,-7
135,20,0,-7
136,19,0,-7
137,18,0,-7
138,17,0,-7
139,18,0,-7
140,19,0,-7
141,18,0,-7
142,19,0,-7
143,20,0,-7
144,19,0,-7
145,20,0,-7
146,21,0,-7
147,22,0,-7
148,21,0,-7
149,21,1,-7
