index,x_pos,y_pos,z_pos
0,21,39,-6
1,21,38,-6
2,21,37,-6
3,21,36,-6
4,21,35,-6
5,20,35,-6
6,20,35,-6
7,20,35,-6
8,19,35,-6
9,19,35,-6
10,20,35,-6
11,20,35,-6
12,19,35,-6
13,19,35,-6
14,20,35,-6
15,21,35,-6
16,21,36,-6
17,21,36,-6
18,21,35,-6
19,20,35,-6
20,19,35,-6
21,18,35,-6
22,18,35,-6
23,18,35,-6
24,18,35,-6
25,18,35,-6
26,18,35,-6
27,19,35,-6
28,19,35,-6
29,18,35,-6
30,18,35,-6
31,18,35,-6
32,17,35,-6
33,16,35,-6
34,16,35,-6
35,16,35,-6
36,15,35,-6
37,14,35,-6
38,14,35,-6
39,14,35,-6
40,14,35,-6
41,14,35,-6
42,14,34,-6
43,14,33,-6
44,14,32,-6
45,14,32,-6
46,14,32,-6
47,14,31,-6
48,14,31,-6
49,14,31,-6
50,14,30,-6
51,14,30,-6
52,14,30,-6
53,14,29,-6
54,14,29,-6
55,14,29,-6
56,14,28,-6
57,13,28,-6
58,13,28,-6
59,13,28,-6
60,12,28,-6
61,12,28,-6
62,13,28,-6
63,14,28,-6
64,14,28,-6
65,14,27,-6
66,14,27,-6
67,14,28,-6
68,14,28,-6
69,14,28,-6
70,14,28,-6
71,14,27,-6
72,14,26,-6
73,14,25,-6
74,14,24,-6
75,14,23,-6
76,14,22,-6
77,15,21,-6
78,15,21,-6
79,14,21,-6
80,14,21,-6
81,14,22,-6
82,14,23,-6
83,14,24,-6
84,14,24,-6
85,14,23,-6
86,14,22,-6
87,14,21,-6
88,14,20,-6
89,14,19,-6
90,14,18,-6
91,14,17,-6
92,14,16,-6
93,14,16,-6
94,14,17,-6
95,14,17,-6
96,14,16,-6
97,14,16,-6
98,14,17,-6
99,14,17,-6
100,14,16,-6
101,14,15,-6
102,14,14,-6
103,14,14,-6
104,14,14,-6
105,14,13,-6
106,14,12,-6
107,14,11,-6
108,14,11,-6
109,14,12,-6
110,14,12,-6
111,14,12,-6
112,14,13,-6
113,14,14,-6
114,14,14,-6
115,14,14,-6
116,14,15,-6
117,14,15,-6
118,14,14,-6
119,14,13,-6
120,14,13,-6
121,14,13,-6
122,14,13,-6
123,14,14,-6
124,14,14,-6
125,14,14,-6
126,14,14,-6
127,14,13,-6
128,14,13,-6
129,14,13,-6
130,14,12,-6
131,14,11,-6
132,14,11,-6
133,14,12,-6
134,14,12,-6
135,14,11,-6
136,14,10,-6
137,14,9,-6
138,14,8,-6
139,14,7,-6
140,14,6,-6
141,14,6,-6
142,14,6,-6
143,14,6,-6
144,14,7,-6
145,15,7,-6
146,15,7,-6
147,15,7,-6
148,15,7,-6
149,14,7,-6
150,14,7,-6
151,14,7,-6
152,14,7,-6
153,14,7,-6
154,14,7,-6
155,14,7,-6
156,13,7,-6
157,13,7,-6
158,13,7,-6
159,13,7,-6
160,13,7,-6
161,13,7,-6
162,13,7,-6
163,13,7,-6
164,13,7,-6
165,13,7,-6
166,13,7,-6
167,12,7,-6
168,12,7,-6
169,13,7,-6
170,13,7,-6
171,12,7,-6
172,11,7,-6
173,10,7,-6
174,9,7,-6
