index,x_pos,y_pos
0,23,21
1,24,21
2,23,21
3,22,21
4,21,21
5,22,21
6,23,21
7,24,21
8,25,21
9,26,21
10,25,21
11,24,21
12,23,21
13,24,21
14,25,21
15,26,21
16,25,21
17,24,21
18,25,21
19,26,21
20,27,21
21,28,21
22,27,21
23,26,21
24,25,21
25,24,21
26,25,21
27,24,21
28,23,21
29,22,21
30,21,21
31,21,22
32,21,23
33,21,22
34,21,23
35,21,24
36,21,25
37,21,24
38,21,23
39,21,22
40,21,21
41,22,21
42,21,21
43,21,20
44,21,21
45,20,21
46,21,21
47,21,22
48,21,23
49,21,22
50,21,21
51,21,22
52,21,21
53,20,21
54,19,21
55,18,21
56,19,21
57,20,21
58,19,21
59,20,21
60,19,21
61,18,21
62,19,21
63,20,21
64,21,21
65,22,21
66,21,21
67,21,20
68,21,19
69,21,18
70,21,17
71,21,18
72,21,19
73,21,18
74,21,17
75,21,18
76,21,17
77,21,16
78,21,15
79,21,16
80,21,17
81,21,16
82,21,15
83,21,14
84,20,14
85,21,14
86,21,15
87,21,16
88,21,15
89,21,14
90,22,14
91,21,14
92,21,13
93,21,12
94,21,11
95,21,12
96,21,13
97,21,12
98,21,11
99,21,12
100,21,13
101,21,12
102,21,13
103,21,14
104,21,15
105,21,14
106,21,13
107,21,14
108,21,13
109,21,14
110,22,14
111,21,14
112,21,13
113,21,14
114,20,14
115,19,14
116,20,14
117,21,14
118,20,14
119,19,14
120,20,14
121,21,14
122,21,15
123,21,14
124,22,14
125,21,14
126,22,14
127,21,14
128,22,14
129,23,14
130,24,14
131,23,14
132,22,14
133,23,14
134,22,14
135,23,14
136,24,14
137,23,14
138,22,14
139,21,14
140,22,14
141,23,14
142,22,14
143,23,14
144,24,14
145,23,14
146,24,14
147,23,14
148,24,14
149,23,14
150,24,14
151,25,14
152,26,14
153,27,14
154,28,14
155,28,13
156,28,14
157,28,15
158,28,14
159,28,15
160,28,16
161,28,17
162,28,18
163,28,17
164,28,16
165,28,15
166,28,14
167,28,13
168,28,12
169,28,11
170,28,10
171,28,11
172,28,12
173,28,13
174,28,14
175,28,13
176,28,14
177,27,14
178,26,14
179,25,14
180,26,14
181,25,14
182,26,14
183,27,14
184,26,14
185,25,14
186,26,14
187,25,14
188,24,14
189,23,14
190,24,14
191,25,14
192,24,14
193,23,14
194,22,14
195,21,14
196,20,14
197,19,14
198,20,14
199,21,14
200,21,13
201,21,12
202,21,13
203,21,12
204,21,13
205,21,12
206,21,13
207,21,12
208,21,11
209,21,10
210,21,9
211,21,8
212,21,9
213,21,8
214,21,7
215,21,8
216,21,7
217,21,6
218,21,5
219,21,4
220,21,3
221,21,2
222,21,3
223,21,4
224,21,3
225,21,4
226,21,5
227,21,6
