index,x_pos,y_pos,z_pos
0,280.0,380.0,299.0
1,280.0,381.0,299.0
2,280.0,382.0,299.0
3,280.0,383.0,299.0
4,280.0,384.0,299.0
5,280.0,385.0,299.0
6,280.0,386.0,299.0
7,280.0,387.0,299.0
8,280.0,388.0,299.0
9,280.0,389.0,299.0
10,280.0,390.0,299.0
11,280.0,391.0,299.0
12,280.0,392.0,299.0
13,280.0,393.0,299.0
14,280.0,394.0,299.0
15,280.0,395.0,299.0
16,280.0,396.0,299.0
17,280.0,397.0,299.0
18,280.0,398.0,299.0
19,280.0,399.0,299.0
20,280.0,400.0,299.0
21,280.0,399.0,299.0
22,280.0,398.0,299.0
23,280.0,397.0,299.0
24,280.0,396.0,299.0
25,280.0,395.0,299.0
26,280.0,394.0,299.0
27,280.0,393.0,299.0
28,280.0,392.0,299.0
29,280.0,391.0,299.0
30,280.0,390.0,299.0
31,280.0,389.0,299.0
32,280.0,388.0,299.0
33,280.0,387.0,299.0
34,280.0,386.0,299.0
35,280.0,385.0,299.0
36,280.0,384.0,299.0
37,280.0,383.0,299.0
38,280.0,382.0,299.0
39,280.0,381.0,299.0
40,280.0,380.0,299.0
41,280.0,379.0,299.0
42,280.0,378.0,299.0
43,280.0,377.0,299.0
44,280.0,376.0,299.0
45,280.0,375.0,299.0
46,280.0,374.0,299.0
47,280.0,373.0,299.0
48,280.0,372.0,299.0
49,280.0,371.0,299.0
50,280.0,370.0,299.0
51,280.0,369.0,299.0
52,280.0,368.0,299.0
53,280.0,367.0,299.0
54,280.0,366.0,299.0
55,280.0,365.0,299.0
56,280.0,364.0,299.0
57,280.0,363.0,299.0
58,280.0,362.0,299.0
59,280.0,361.0,299.0
60,280.0,360.0,299.0
61,280.0,361.0,299.0
62,280.0,362.0,299.0
63,280.0,363.0,299.0
64,280.0,364.0,299.0
65,280.0,365.0,299.0
66,280.0,366.0,299.0
67,280.0,367.0,299.0
68,280.0,368.0,299.0
69,280.0,369.0,299.0
70,280.0,370.0,299.0
71,280.0,369.0,299.0
72,280.0,368.0,299.0
73,280.0,367.0,299.0
74,280.0,366.0,299.0
75,280.0,365.0,299.0
76,280.0,364.0,299.0
77,280.0,363.0,299.0
78,280.0,362.0,299.0
79,280.0,361.0,299.0
80,280.0,360.0,299.0
81,280.0,359.0,299.0
82,280.0,358.0,299.0
83,280.0,357.0,299.0
84,280.0,356.0,299.0
85,280.0,355.0,299.0
86,280.0,354.0,299.0
87,280.0,353.0,299.0
88,280.0,352.0,299.0
89,280.0,351.0,299.0
90,280.0,350.0,299.0
91,281.0,350.0,299.0
92,282.0,350.0,299.0
93,283.0,350.0,299.0
94,284.0,350.0,299.0
95,285.0,350.0,299.0
96,286.0,350.0,299.0
97,287.0,350.0,299.0
98,288.0,350.0,299.0
99,289.0,350.0,299.0
100,290.0,350.0,299.0
101,291.0,350.0,299.0
102,292.0,350.0,299.0
103,293.0,350.0,299.0
104,294.0,350.0,299.0
105,295.0,350.0,299.0
106,296.0,350.0,299.0
107,297.0,350.0,299.0
108,298.0,350.0,299.0
109,299.0,350.0,299.0
110,300.0,350.0,299.0
111,299.0,350.0,299.0
112,298.0,350.0,299.0
113,297.0,350.0,299.0
114,296.0,350.0,299.0
115,295.0,350.0,299.0
116,294.0,350.0,299.0
117,293.0,350.0,299.0
118,292.0,350.0,299.0
119,291.0,350.0,299.0
120,290.0,350.0,299.0
121,289.0,350.0,299.0
122,288.0,350.0,299.0
123,287.0,350.0,299.0
124,286.0,350.0,299.0
125,285.0,350.0,299.0
126,284.0,350.0,299.0
127,283.0,350.0,299.0
128,282.0,350.0,299.0
129,281.0,350.0,299.0
130,280.0,350.0,299.0
131,280.0,349.0,299.0
132,280.0,348.0,299.0
133,280.0,347.0,299.0
134,280.0,346.0,299.0
135,280.0,345.0,299.0
136,280.0,344.0,299.0
137,280.0,343.0,299.0
138,280.0,342.0,299.0
139,280.0,341.0,299.0
140,280.0,340.0,299.0
141,280.0,341.0,299.0
142,280.0,342.0,299.0
143,280.0,343.0,299.0
144,280.0,344.0,299.0
145,280.0,345.0,299.0
146,280.0,346.0,299.0
147,280.0,347.0,299.0
148,280.0,348.0,299.0
149,280.0,349.0,299.0
150,280.0,350.0,299.0
151,280.0,351.0,299.0
152,280.0,352.0,299.0
153,280.0,353.0,299.0
154,280.0,354.0,299.0
155,280.0,355.0,299.0
156,280.0,356.0,299.0
157,280.0,357.0,299.0
158,280.0,358.0,299.0
159,280.0,359.0,299.0
160,280.0,360.0,299.0
161,280.0,359.0,299.0
162,280.0,358.0,299.0
163,280.0,357.0,299.0
164,280.0,356.0,299.0
165,280.0,355.0,299.0
166,280.0,354.0,299.0
167,280.0,353.0,299.0
168,280.0,352.0,299.0
169,280.0,351.0,299.0
170,280.0,350.0,299.0
171,280.0,351.0,299.0
172,280.0,352.0,299.0
173,280.0,353.0,299.0
174,280.0,354.0,299.0
175,280.0,355.0,299.0
176,280.0,356.0,299.0
177,280.0,357.0,299.0
178,280.0,358.0,299.0
179,280.0,359.0,299.0
180,280.0,360.0,299.0
181,280.0,359.0,299.0
182,280.0,358.0,299.0
183,280.0,357.0,299.0
184,280.0,356.0,299.0
185,280.0,355.0,299.0
186,280.0,354.0,299.0
187,280.0,353.0,299.0
188,280.0,352.0,299.0
189,280.0,351.0,299.0
190,280.0,350.0,299.0
191,279.0,350.0,299.0
192,278.0,350.0,299.0
193,277.0,350.0,299.0
194,276.0,350.0,299.0
195,275.0,350.0,299.0
196,274.0,350.0,299.0
197,273.0,350.0,299.0
198,272.0,350.0,299.0
199,271.0,350.0,299.0
200,270.0,350.0,299.0
201,271.0,350.0,299.0
202,272.0,350.0,299.0
203,273.0,350.0,299.0
204,274.0,350.0,299.0
205,275.0,350.0,299.0
206,276.0,350.0,299.0
207,277.0,350.0,299.0
208,278.0,350.0,299.0
209,279.0,350.0,299.0
210,280.0,350.0,299.0
211,280.0,349.0,299.0
212,280.0,348.0,299.0
213,280.0,347.0,299.0
214,280.0,346.0,299.0
215,280.0,345.0,299.0
216,280.0,344.0,299.0
217,280.0,343.0,299.0
218,280.0,342.0,299.0
219,280.0,341.0,299.0
220,280.0,340.0,299.0
221,280.0,341.0,299.0
222,280.0,342.0,299.0
223,280.0,343.0,299.0
224,280.0,344.0,299.0
225,280.0,345.0,299.0
226,280.0,346.0,299.0
227,280.0,347.0,299.0
228,280.0,348.0,299.0
229,280.0,349.0,299.0
230,280.0,350.0,299.0
231,280.0,349.0,299.0
232,280.0,348.0,299.0
233,280.0,347.0,299.0
234,280.0,346.0,299.0
235,280.0,345.0,299.0
236,280.0,344.0,299.0
237,280.0,343.0,299.0
238,280.0,342.0,299.0
239,280.0,341.0,299.0
240,280.0,340.0,299.0
241,280.0,341.0,299.0
242,280.0,342.0,299.0
243,280.0,343.0,299.0
244,280.0,344.0,299.0
245,280.0,345.0,299.0
246,280.0,346.0,299.0
247,280.0,347.0,299.0
248,280.0,348.0,299.0
249,280.0,349.0,299.0
250,280.0,350.0,299.0
251,279.0,350.0,299.0
252,278.0,350.0,299.0
253,277.0,350.0,299.0
254,276.0,350.0,299.0
255,275.0,350.0,299.0
256,274.0,350.0,299.0
257,273.0,350.0,299.0
258,272.0,350.0,299.0
259,271.0,350.0,299.0
260,270.0,350.0,299.0
261,269.0,350.0,299.0
262,268.0,350.0,299.0
263,267.0,350.0,299.0
264,266.0,350.0,299.0
265,265.0,350.0,299.0
266,264.0,350.0,299.0
267,263.0,350.0,299.0
268,262.0,350.0,299.0
269,261.0,350.0,299.0
270,260.0,350.0,299.0
271,259.0,350.0,299.0
272,258.0,350.0,299.0
273,257.0,350.0,299.0
274,256.0,350.0,299.0
275,255.0,350.0,299.0
276,254.0,350.0,299.0
277,253.0,350.0,299.0
278,252.0,350.0,299.0
279,251.0,350.0,299.0
280,250.0,350.0,299.0
281,251.0,350.0,299.0
282,252.0,350.0,299.0
283,253.0,350.0,299.0
284,254.0,350.0,299.0
285,255.0,350.0,299.0
286,256.0,350.0,299.0
287,257.0,350.0,299.0
