index,x_pos,y_pos
0,34,21
80,34,21
81,33,21
82,34,21
83,33,21
84,32,21
85,33,21
86,32,21
87,33,21
88,32,21
89,31,21
90,30,21
91,29,21
92,28,21
93,28,20
94,28,21
95,28,22
96,28,21
97,29,21
98,30,21
99,31,21
100,30,21
109,29,21
110,28,21
118,28,19
119,28,18
120,28,17
121,28,18
122,28,19
123,28,18
124,28,19
125,28,18
126,28,17
127,28,18
128,28,17
129,28,16
130,28,17
131,28,16
132,28,15
133,28,14
134,28,15
135,28,14
152,21,14
153,21,13
154,21,12
155,21,11
156,21,10
157,21,9
158,21,10
159,21,11
160,21,10
161,21,9
162,21,8
163,21,7
164,20,7
165,19,7
166,20,7
167,19,7
168,20,7
169,19,7
170,18,7
171,19,7
172,18,7
173,19,7
174,18,7
175,19,7
176,20,7
177,21,7
178,21,8
179,21,9
180,21,8
181,21,7
182,21,6
183,21,7
184,20,7
185,19,7
186,20,7
187,19,7
188,18,7
189,17,7
190,16,7
191,17,7
192,18,7
193,17,7
194,18,7
195,17,7
196,16,7
197,17,7
198,16,7
199,15,7
200,14,7
201,13,7
