index,x_pos,y_pos
0,28,8
1,28,9
2,28,10
3,28,9
4,28,8
5,28,7
6,27,7
7,28,7
8,28,6
9,28,5
10,28,4
11,28,5
12,28,6
13,28,7
14,29,7
15,28,7
16,28,6
17,28,7
18,28,6
19,28,7
20,28,8
21,28,7
22,29,7
23,28,7
24,27,7
25,28,7
26,27,7
27,26,7
28,27,7
29,28,7
30,28,6
31,28,7
32,28,6
33,28,5
34,28,4
35,28,3
36,28,4
37,28,5
38,28,6
39,28,7
40,28,8
41,28,9
42,28,10
43,28,11
44,28,12
45,28,13
46,28,14
47,28,15
48,28,14
49,28,15
50,28,14
51,28,13
52,28,14
53,28,15
54,28,14
55,27,14
56,28,14
57,27,14
58,28,14
59,29,14
60,28,14
61,29,14
62,28,14
63,28,15
64,28,14
65,27,14
66,28,14
67,27,14
68,26,14
69,25,14
70,24,14
71,25,14
72,26,14
73,25,14
74,26,14
75,25,14
76,24,14
77,25,14
78,26,14
79,27,14
80,26,14
81,25,14
82,24,14
83,25,14
84,26,14
85,27,14
86,28,14
87,28,15
88,28,16
89,28,17
90,28,18
91,28,17
92,28,16
93,28,15
94,28,16
95,28,15
96,28,16
97,28,15
98,28,14
99,28,15
100,28,14
101,28,13
102,28,12
103,28,13
104,28,14
105,28,13
106,28,12
107,28,11
108,28,10
109,28,9
110,28,10
111,28,9
112,28,10
113,28,9
114,28,8
115,28,9
116,28,10
117,28,9
118,28,10
119,28,11
120,28,12
121,28,13
122,28,12
123,28,11
124,28,10
125,28,9
126,28,8
127,28,9
128,28,8
129,28,9
130,28,10
131,28,11
132,28,12
133,28,13
134,28,12
135,28,13
136,28,14
137,28,15
138,28,16
139,28,15
140,28,14
141,28,13
142,28,14
143,29,14
144,28,14
145,29,14
146,30,14
147,29,14
148,28,14
149,28,13
150,28,14
151,27,14
152,26,14
153,25,14
154,24,14
155,25,14
156,26,14
157,25,14
158,26,14
159,27,14
160,28,14
161,27,14
162,28,14
163,28,15
164,28,14
165,28,15
166,28,16
167,28,17
168,28,18
169,28,19
170,28,18
171,28,19
172,28,18
173,28,17
174,28,16
175,28,15
176,28,14
177,28,13
178,28,14
179,28,13
180,28,12
181,28,11
182,28,10
183,28,9
184,28,10
185,28,9
186,28,10
187,28,11
188,28,10
189,28,11
190,28,12
191,28,11
192,28,10
193,28,11
194,28,10
195,28,11
196,28,12
197,28,13
198,28,12
199,28,13
200,28,14
201,28,15
202,28,16
203,28,17
204,28,16
205,28,15
206,28,16
207,28,15
208,28,14
209,28,15
210,28,16
211,28,17
212,28,18
213,28,17
214,28,18
215,28,17
216,28,16
217,28,15
218,28,16
219,28,17
220,28,18
221,28,19
222,28,20
223,28,21
224,28,22
225,28,21
226,29,21
227,30,21
228,29,21
229,30,21
230,29,21
231,28,21
232,28,20
233,28,21
234,28,20
235,28,19
236,28,18
237,28,17
238,28,16
239,28,15
240,28,16
241,28,15
242,28,16
243,28,17
244,28,18
245,28,19
246,28,18
247,28,17
248,28,16
249,28,15
250,28,14
251,28,15
252,28,14
253,29,14
254,30,14
255,29,14
256,28,14
257,29,14
258,28,14
259,29,14
260,28,14
261,28,13
262,28,14
263,28,13
264,28,14
265,27,14
266,26,14
267,25,14
268,24,14
269,23,14
270,22,14
271,21,14
272,21,15
273,21,14
274,21,13
275,21,12
276,21,11
277,21,10
278,21,11
279,21,12
280,21,11
281,21,10
282,21,9
283,21,8
284,21,9
285,21,10
286,21,9
287,21,8
288,21,9
289,21,8
290,21,7
291,20,7
292,19,7
293,18,7
294,19,7
295,18,7
296,17,7
297,18,7
298,17,7
299,16,7
300,15,7
301,14,7
302,13,7
303,14,7
304,14,8
305,14,9
306,14,8
307,14,7
308,14,6
309,14,5
310,14,6
311,14,7
312,13,7
313,14,7
314,15,7
315,16,7
316,17,7
317,18,7
318,19,7
319,18,7
320,17,7
321,16,7
322,15,7
323,16,7
324,15,7
325,14,7
326,14,6
327,14,7
328,14,6
329,14,5
330,14,6
331,14,7
332,13,7
333,12,7
334,13,7
335,14,7
336,14,8
337,14,7
338,15,7
339,16,7
340,17,7
341,18,7
342,17,7
343,16,7
344,15,7
345,16,7
346,17,7
347,16,7
348,17,7
349,18,7
350,19,7
351,18,7
352,17,7
353,18,7
354,19,7
355,20,7
356,21,7
357,20,7
358,19,7
359,18,7
360,17,7
361,16,7
362,15,7
363,14,7
364,13,7
365,14,7
366,14,8
367,14,9
368,14,8
369,14,9
370,14,8
371,14,7
372,14,8
373,14,9
374,14,10
375,14,9
376,14,8
377,14,7
378,13,7
379,12,7
380,11,7
381,12,7
382,13,7
383,12,7
384,11,7
385,10,7
386,11,7
387,12,7
388,13,7
389,12,7
390,11,7
391,10,7
392,9,7
393,8,7
394,9,7
395,8,7
396,9,7
397,10,7
398,11,7
399,10,7
400,9,7
401,8,7
402,7,7
403,8,7
404,9,7
405,10,7
406,11,7
407,12,7
408,11,7
409,10,7
410,9,7
411,8,7
412,7,7
413,7,8
414,7,7
415,7,8
416,7,9
417,7,8
418,7,7
419,8,7
420,7,7
421,6,7
422,5,7
423,6,7
424,7,7
425,7,6
426,7,5
427,7,4
428,7,3
429,7,4
430,7,5
431,7,6
432,7,5
433,7,4
434,7,3
435,7,2
436,7,1
437,7,2
438,7,3
439,7,4
440,7,5
441,7,6
442,7,7
443,7,8
444,7,7
445,6,7
446,7,7
447,6,7
448,5,7
449,4,7
450,5,7
451,6,7
452,7,7
453,7,6
454,7,5
455,7,6
456,7,5
457,7,6
458,7,7
459,7,8
460,7,9
461,7,10
462,7,9
463,7,8
464,7,7
465,7,6
466,7,5
467,7,6
468,7,7
469,6,7
470,7,7
471,7,8
472,7,7
473,6,7
474,5,7
475,6,7
476,7,7
477,6,7
478,5,7
479,4,7
480,5,7
481,4,7
482,3,7
483,4,7
484,5,7
485,4,7
486,3,7
487,2,7
488,3,7
489,4,7
490,5,7
491,4,7
492,3,7
493,4,7
494,3,7
495,2,7
496,1,7
497,0,7
498,0,8
499,0,7
500,0,6
501,0,5
502,0,4
503,0,5
504,0,6
505,0,7
506,1,7
507,0,7
508,0,8
509,0,7
510,0,8
511,0,9
512,0,10
513,0,11
514,0,10
515,0,9
516,0,10
517,0,11
518,0,12
519,0,11
520,0,12
521,0,11
522,0,12
523,0,13
524,0,14
525,0,15
526,0,14
527,0,15
528,0,14
529,0,15
530,0,14
531,0,13
532,0,12
533,0,13
534,0,14
535,1,14
