index,x_pos,y_pos,z_pos
0,145.0,75.0,270.0
1,145.0,76.0,270.0
2,145.0,77.0,270.0
3,145.0,78.0,270.0
4,145.0,79.0,270.0
5,145.0,80.0,270.0
6,145.0,81.0,270.0
7,145.0,82.0,270.0
8,145.0,83.0,270.0
9,145.0,84.0,270.0
10,145.0,85.0,270.0
11,145.0,86.0,270.0
12,145.0,87.0,270.0
13,145.0,88.0,270.0
14,145.0,89.0,270.0
15,145.0,90.0,270.0
16,145.0,91.0,270.0
17,145.0,92.0,270.0
18,145.0,93.0,270.0
19,145.0,94.0,270.0
20,145.0,95.0,270.0
21,145.0,96.0,270.0
22,145.0,97.0,270.0
23,145.0,98.0,270.0
24,145.0,99.0,270.0
25,145.0,100.0,270.0
26,145.0,101.0,270.0
27,145.0,102.0,270.0
28,145.0,103.0,270.0
29,145.0,104.0,270.0
30,145.0,105.0,270.0
31,145.0,106.0,270.0
32,145.0,107.0,270.0
33,145.0,108.0,270.0
34,145.0,109.0,270.0
35,145.0,110.0,270.0
36,145.0,111.0,270.0
37,145.0,112.0,270.0
38,145.0,113.0,270.0
39,145.0,114.0,270.0
40,145.0,115.0,270.0
41,145.0,116.0,270.0
42,145.0,117.0,270.0
43,145.0,118.0,270.0
44,145.0,119.0,270.0
45,145.0,120.0,270.0
46,145.0,121.0,270.0
47,145.0,122.0,270.0
48,145.0,123.0,270.0
49,145.0,124.0,270.0
50,145.0,125.0,270.0
51,145.0,126.0,270.0
52,145.0,127.0,270.0
53,145.0,128.0,270.0
54,145.0,129.0,270.0
55,145.0,130.0,270.0
56,145.0,131.0,270.0
57,145.0,132.0,270.0
58,145.0,133.0,270.0
59,145.0,134.0,270.0
60,145.0,135.0,270.0
61,145.0,134.0,270.0
62,145.0,133.0,270.0
63,145.0,132.0,270.0
64,145.0,131.0,270.0
65,145.0,130.0,270.0
66,145.0,129.0,270.0
67,145.0,128.0,270.0
68,145.0,127.0,270.0
69,145.0,126.0,270.0
70,145.0,125.0,270.0
71,145.0,126.0,270.0
72,145.0,127.0,270.0
73,145.0,128.0,270.0
74,145.0,129.0,270.0
75,145.0,130.0,270.0
76,145.0,131.0,270.0
77,145.0,132.0,270.0
78,145.0,133.0,270.0
79,145.0,134.0,270.0
80,145.0,135.0,270.0
81,145.0,136.0,270.0
82,145.0,137.0,270.0
83,145.0,138.0,270.0
84,145.0,139.0,270.0
85,145.0,140.0,270.0
86,145.0,141.0,270.0
87,145.0,142.0,270.0
88,145.0,143.0,270.0
89,145.0,144.0,270.0
90,145.0,145.0,270.0
91,144.0,145.0,270.0
92,143.0,145.0,270.0
93,142.0,145.0,270.0
94,141.0,145.0,270.0
95,140.0,145.0,270.0
96,139.0,145.0,270.0
97,138.0,145.0,270.0
98,137.0,145.0,270.0
99,136.0,145.0,270.0
100,135.0,145.0,270.0
101,136.0,145.0,270.0
102,137.0,145.0,270.0
103,138.0,145.0,270.0
104,139.0,145.0,270.0
105,140.0,145.0,270.0
106,141.0,145.0,270.0
107,142.0,145.0,270.0
108,143.0,145.0,270.0
109,144.0,145.0,270.0
110,145.0,145.0,270.0
111,146.0,145.0,270.0
112,147.0,145.0,270.0
113,148.0,145.0,270.0
114,149.0,145.0,270.0
115,150.0,145.0,270.0
116,151.0,145.0,270.0
117,152.0,145.0,270.0
118,153.0,145.0,270.0
119,154.0,145.0,270.0
120,155.0,145.0,270.0
121,156.0,145.0,270.0
122,157.0,145.0,270.0
