index,x_pos,y_pos
0,1,0
1,2,0
2,3,0
3,4,0
4,3,0
5,4,0
6,3,0
7,4,0
8,3,0
9,4,0
10,3,0
11,2,0
12,1,0
13,2,0
14,3,0
15,4,0
16,5,0
17,4,0
18,5,0
19,4,0
20,5,0
21,4,0
22,5,0
23,6,0
24,5,0
25,6,0
26,7,0
27,8,0
28,7,0
29,7,1
30,7,2
31,7,3
32,7,4
33,7,5
34,7,6
35,7,5
36,7,6
37,7,5
38,7,4
39,7,3
40,7,4
41,7,5
42,7,6
43,7,5
44,7,4
45,7,5
46,7,6
47,7,7
48,7,8
49,7,7
50,7,6
51,7,7
52,7,8
53,7,7
54,8,7
55,7,7
56,8,7
57,9,7
58,8,7
59,9,7
60,8,7
61,9,7
62,8,7
63,9,7
64,8,7
65,9,7
66,8,7
67,7,7
68,7,8
69,7,9
70,7,10
71,7,9
72,7,8
73,7,9
74,7,10
75,7,11
76,7,10
77,7,11
78,7,12
79,7,11
80,7,12
81,7,13
82,7,14
83,7,13
84,7,14
85,6,14
86,7,14
87,6,14
88,5,14
89,6,14
90,5,14
91,6,14
92,7,14
93,7,13
94,7,14
95,7,15
96,7,14
97,7,15
98,7,14
99,8,14
100,9,14
101,10,14
102,11,14
103,12,14
104,13,14
105,12,14
106,13,14
107,14,14
108,15,14
109,14,14
110,13,14
111,12,14
112,13,14
113,14,14
114,13,14
115,12,14
116,13,14
117,12,14
118,13,14
119,14,14
120,14,15
121,14,16
122,14,15
123,14,14
124,13,14
125,14,14
126,13,14
127,14,14
128,14,13
129,14,14
130,14,15
131,14,14
132,14,15
133,14,14
134,13,14
135,12,14
136,13,14
137,14,14
138,14,13
139,14,14
140,14,15
141,14,14
142,15,14
143,16,14
144,17,14
145,18,14
146,17,14
147,18,14
148,17,14
149,18,14
150,17,14
151,16,14
152,15,14
153,14,14
154,13,14
155,14,14
156,14,15
157,14,16
158,14,15
159,14,14
160,14,13
161,14,14
162,15,14
163,14,14
164,14,15
165,14,16
166,14,15
167,14,14
168,15,14
169,16,14
170,15,14
171,14,14
172,14,13
173,14,12
174,14,11
175,14,12
176,14,11
177,14,12
178,14,13
179,14,12
180,14,11
181,14,12
182,14,13
183,14,12
184,14,13
185,14,14
186,15,14
187,16,14
188,17,14
189,18,14
190,19,14
191,20,14
192,21,14
193,21,13
194,21,12
195,21,13
196,21,12
197,21,13
198,21,14
199,20,14
200,21,14
201,21,13
202,21,12
203,21,11
