index,x_pos,y_pos
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0,12
12,0,13
13,0,14
14,0,13
15,0,14
16,1,14
17,2,14
18,3,14
19,4,14
20,5,14
21,6,14
22,5,14
23,6,14
24,7,14
25,6,14
26,7,14
27,6,14
28,7,14
29,7,15
30,7,16
31,7,15
32,7,16
33,7,15
34,7,16
35,7,15
36,7,16
37,7,15
38,7,14
39,7,15
40,7,16
41,7,15
42,7,14
43,7,15
44,7,16
45,7,15
46,7,14
47,7,15
48,7,16
49,7,17
50,7,18
51,7,19
52,7,20
53,7,21
54,7,22
55,7,21
56,7,20
57,7,21
58,7,22
59,7,23
60,7,24
61,7,25
62,7,26
63,7,27
64,7,26
65,7,25
66,7,26
67,7,27
68,7,26
69,7,25
70,7,24
71,7,25
72,7,26
73,7,27
74,7,28
75,8,28
76,9,28
77,10,28
78,11,28
79,12,28
80,13,28
81,14,28
82,14,29
83,14,30
84,14,29
85,14,30
86,14,31
87,14,30
88,14,31
89,14,30
90,14,31
91,14,32
92,14,33
93,14,34
94,14,35
95,15,35
96,14,35
97,14,36
98,14,37
99,14,36
100,14,35
101,14,34
102,14,33
103,14,32
104,14,33
105,14,34
106,14,35
107,14,36
108,14,37
109,14,38
110,14,37
111,14,38
112,14,37
113,14,38
114,14,39
115,14,40
116,14,39
117,14,40
118,14,41
119,14,42
120,13,42
121,14,42
122,15,42
123,14,42
124,14,41
125,14,42
126,13,42
127,12,42
128,11,42
