index,x_pos,y_pos
0,5,14
1,6,14
2,5,14
3,6,14
4,5,14
5,6,14
6,5,14
7,6,14
8,7,14
9,7,15
10,7,16
11,7,17
12,7,16
13,7,17
14,7,16
15,7,15
16,7,14
17,7,15
18,7,16
19,7,15
20,7,16
21,7,15
22,7,14
23,7,13
24,7,12
25,7,11
26,7,12
27,7,13
28,7,14
29,7,13
30,7,12
31,7,11
32,7,10
33,7,11
34,7,12
35,7,13
36,7,14
37,7,13
38,7,12
39,7,11
40,7,10
41,7,9
42,7,10
43,7,9
44,7,10
45,7,11
46,7,10
47,7,9
48,7,10
49,7,11
50,7,12
51,7,11
52,7,10
53,7,11
54,7,10
55,7,9
56,7,10
57,7,9
58,7,10
59,7,11
60,7,12
61,7,11
62,7,10
63,7,11
64,7,10
65,7,9
66,7,8
67,7,9
68,7,8
69,7,9
70,7,10
71,7,11
72,7,10
73,7,11
74,7,10
75,7,11
76,7,10
77,7,9
78,7,8
79,7,7
80,8,7
81,7,7
82,8,7
83,7,7
84,8,7
85,7,7
86,7,8
87,7,7
88,7,6
89,7,7
90,6,7
91,5,7
92,4,7
93,5,7
94,6,7
95,7,7
96,7,6
97,7,5
98,7,4
99,7,3
100,7,4
101,7,3
102,7,2
103,7,3
104,7,4
105,7,3
106,7,4
107,7,5
108,7,6
109,7,5
110,7,4
111,7,3
112,7,4
113,7,5
114,7,4
115,7,3
116,7,4
117,7,5
118,7,6
119,7,5
120,7,4
121,7,5
122,7,4
123,7,3
124,7,2
125,7,3
126,7,2
127,7,1
128,7,0
129,8,0
130,7,0
131,6,0
132,7,0
133,7,1
134,7,0
135,7,1
136,7,0
137,6,0
138,5,0
139,4,0
140,3,0
141,4,0
142,5,0
143,6,0
144,5,0
145,6,0
146,7,0
147,7,1
148,7,0
149,6,0
150,5,0
151,6,0
152,7,0
153,8,0
154,7,0
155,8,0
156,9,0
157,10,0
158,9,0
159,10,0
160,9,0
161,10,0
162,11,0
163,12,0
164,11,0
165,12,0
166,13,0
167,12,0
168,13,0
169,14,0
170,15,0
171,16,0
172,17,0
173,18,0
174,19,0
175,20,0
176,19,0
177,18,0
178,17,0
179,18,0
180,19,0
181,18,0
182,17,0
183,18,0
184,19,0
185,18,0
186,19,0
187,18,0
188,19,0
189,20,0
190,21,0
191,21,1
192,21,0
193,21,1
194,21,2
195,21,1
196,21,0
197,22,0
198,23,0
199,24,0
200,25,0
201,26,0
202,27,0
203,28,0
204,28,1
205,28,2
206,28,3
207,28,4
208,28,5
209,28,6
210,28,7
211,27,7
212,28,7
213,28,8
214,28,9
215,28,8
216,28,9
217,28,10
218,28,9
219,28,10
220,28,11
221,28,12
222,28,13
223,28,12
224,28,13
225,28,14
226,27,14
227,26,14
228,27,14
229,26,14
230,25,14
