index,x_pos,y_pos
0,42,42
1,41,42
2,40,42
3,41,42
4,42,42
5,41,42
6,42,42
7,41,42
8,40,42
9,39,42
10,40,42
11,39,42
12,38,42
13,39,42
14,38,42
15,37,42
16,38,42
17,37,42
18,38,42
19,39,42
20,38,42
21,37,42
22,38,42
23,39,42
24,40,42
25,41,42
26,40,42
27,41,42
28,42,42
29,41,42
30,42,42
31,42,41
32,42,42
33,42,41
34,42,40
35,42,41
36,42,42
37,42,41
38,42,40
39,42,39
40,42,38
41,42,39
42,42,38
43,42,37
44,42,36
45,42,37
46,42,36
47,42,35
48,42,34
49,42,33
50,42,34
51,42,33
52,42,32
53,42,33
54,42,34
55,42,33
56,42,32
57,42,31
58,42,32
59,42,31
60,42,30
61,42,31
62,42,30
63,42,29
64,42,30
65,42,31
66,42,32
67,42,31
68,42,32
69,42,33
70,42,34
71,42,33
72,42,34
73,42,33
74,42,32
75,42,33
76,42,32
77,42,33
78,42,32
79,42,31
80,42,30
81,42,31
82,42,30
83,42,29
84,42,30
85,42,29
86,42,30
87,42,29
88,42,30
89,42,29
90,42,30
91,42,29
92,42,30
93,42,31
94,42,32
95,42,31
96,42,30
97,42,29
98,42,28
99,41,28
100,42,28
101,42,27
102,42,28
103,42,27
104,42,28
105,42,29
106,42,30
107,42,29
108,42,28
109,42,27
110,42,28
111,41,28
112,42,28
113,42,27
114,42,28
115,42,27
116,42,26
117,42,27
118,42,28
119,42,29
120,42,30
121,42,31
122,42,32
123,42,33
124,42,32
125,42,33
126,42,34
127,42,35
128,41,35
129,42,35
130,42,34
131,42,35
132,42,34
133,42,35
134,42,36
135,42,35
136,41,35
137,40,35
138,39,35
139,40,35
140,39,35
141,38,35
142,37,35
143,36,35
144,35,35
145,36,35
146,37,35
147,36,35
148,35,35
149,36,35
150,35,35
151,36,35
152,35,35
153,35,34
154,35,33
155,35,34
156,35,35
157,36,35
158,35,35
159,36,35
160,37,35
161,38,35
162,39,35
163,38,35
164,37,35
165,38,35
166,39,35
167,38,35
168,37,35
169,36,35
170,35,35
171,36,35
172,37,35
173,38,35
174,37,35
175,36,35
176,37,35
177,36,35
178,35,35
179,34,35
180,35,35
181,36,35
182,37,35
183,38,35
184,37,35
185,38,35
186,37,35
187,36,35
188,35,35
189,36,35
190,37,35
191,38,35
192,39,35
193,38,35
194,39,35
195,38,35
196,39,35
197,40,35
198,41,35
199,40,35
200,39,35
