index,x_pos,y_pos
0,75.0,335.0
1,75.0,334.0
2,75.0,333.0
3,75.0,332.0
4,75.0,331.0
5,75.0,330.0
6,75.0,329.0
7,75.0,328.0
8,75.0,327.0
9,75.0,326.0
10,75.0,325.0
11,75.0,326.0
12,75.0,327.0
13,75.0,328.0
14,75.0,329.0
15,75.0,330.0
16,75.0,331.0
17,75.0,332.0
18,75.0,333.0
19,75.0,334.0
20,75.0,335.0
21,75.0,336.0
22,75.0,337.0
23,75.0,338.0
24,75.0,339.0
25,75.0,340.0
26,75.0,341.0
27,75.0,342.0
28,75.0,343.0
29,75.0,344.0
30,75.0,345.0
31,75.0,346.0
32,75.0,347.0
33,75.0,348.0
34,75.0,349.0
35,75.0,350.0
36,75.0,351.0
37,75.0,352.0
38,75.0,353.0
39,75.0,354.0
40,75.0,355.0
41,76.0,355.0
42,77.0,355.0
43,78.0,355.0
44,79.0,355.0
45,80.0,355.0
46,81.0,355.0
47,82.0,355.0
48,83.0,355.0
49,84.0,355.0
50,85.0,355.0
51,84.0,355.0
52,83.0,355.0
53,82.0,355.0
54,81.0,355.0
55,80.0,355.0
56,79.0,355.0
57,78.0,355.0
58,77.0,355.0
59,76.0,355.0
60,75.0,355.0
61,75.0,354.0
62,75.0,353.0
63,75.0,352.0
64,75.0,351.0
65,75.0,350.0
66,75.0,349.0
67,75.0,348.0
68,75.0,347.0
69,75.0,346.0
70,75.0,345.0
71,75.0,344.0
72,75.0,343.0
73,75.0,342.0
74,75.0,341.0
75,75.0,340.0
76,75.0,339.0
77,75.0,338.0
78,75.0,337.0
79,75.0,336.0
80,75.0,335.0
81,75.0,336.0
82,75.0,337.0
83,75.0,338.0
84,75.0,339.0
85,75.0,340.0
86,75.0,341.0
87,75.0,342.0
88,75.0,343.0
89,75.0,344.0
90,75.0,345.0
91,75.0,344.0
92,75.0,343.0
93,75.0,342.0
94,75.0,341.0
95,75.0,340.0
96,75.0,339.0
97,75.0,338.0
98,75.0,337.0
99,75.0,336.0
100,75.0,335.0
101,75.0,336.0
102,75.0,337.0
103,75.0,338.0
104,75.0,339.0
105,75.0,340.0
106,75.0,341.0
107,75.0,342.0
108,75.0,343.0
109,75.0,344.0
110,75.0,345.0
111,75.0,344.0
112,75.0,343.0
113,75.0,342.0
114,75.0,341.0
115,75.0,340.0
116,75.0,339.0
117,75.0,338.0
118,75.0,337.0
119,75.0,336.0
120,75.0,335.0
121,75.0,334.0
122,75.0,333.0
123,75.0,332.0
124,75.0,331.0
125,75.0,330.0
126,75.0,329.0
127,75.0,328.0
128,75.0,327.0
129,75.0,326.0
130,75.0,325.0
131,75.0,324.0
132,75.0,323.0
133,75.0,322.0
134,75.0,321.0
135,75.0,320.0
136,75.0,319.0
137,75.0,318.0
138,75.0,317.0
139,75.0,316.0
140,75.0,315.0
141,75.0,316.0
142,75.0,317.0
143,75.0,318.0
144,75.0,319.0
145,75.0,320.0
146,75.0,321.0
147,75.0,322.0
148,75.0,323.0
149,75.0,324.0
150,75.0,325.0
151,75.0,324.0
152,75.0,323.0
153,75.0,322.0
154,75.0,321.0
155,75.0,320.0
156,75.0,319.0
157,75.0,318.0
158,75.0,317.0
159,75.0,316.0
160,75.0,315.0
161,75.0,314.0
162,75.0,313.0
163,75.0,312.0
164,75.0,311.0
165,75.0,310.0
166,75.0,309.0
167,75.0,308.0
168,75.0,307.0
169,75.0,306.0
170,75.0,305.0
171,75.0,304.0
172,75.0,303.0
173,75.0,302.0
174,75.0,301.0
175,75.0,300.0
176,75.0,299.0
177,75.0,298.0
178,75.0,297.0
179,75.0,296.0
180,75.0,295.0
181,75.0,296.0
182,75.0,297.0
183,75.0,298.0
184,75.0,299.0
185,75.0,300.0
186,75.0,301.0
187,75.0,302.0
188,75.0,303.0
189,75.0,304.0
190,75.0,305.0
191,75.0,306.0
192,75.0,307.0
193,75.0,308.0
194,75.0,309.0
195,75.0,310.0
196,75.0,311.0
197,75.0,312.0
198,75.0,313.0
199,75.0,314.0
200,75.0,315.0
201,75.0,314.0
202,75.0,313.0
203,75.0,312.0
204,75.0,311.0
205,75.0,310.0
206,75.0,309.0
207,75.0,308.0
208,75.0,307.0
209,75.0,306.0
210,75.0,305.0
211,75.0,306.0
212,75.0,307.0
213,75.0,308.0
214,75.0,309.0
215,75.0,310.0
216,75.0,311.0
217,75.0,312.0
218,75.0,313.0
219,75.0,314.0
220,75.0,315.0
221,75.0,316.0
222,75.0,317.0
223,75.0,318.0
224,75.0,319.0
225,75.0,320.0
226,75.0,321.0
227,75.0,322.0
228,75.0,323.0
229,75.0,324.0
230,75.0,325.0
231,75.0,324.0
232,75.0,323.0
233,75.0,322.0
234,75.0,321.0
235,75.0,320.0
236,75.0,319.0
237,75.0,318.0
238,75.0,317.0
239,75.0,316.0
240,75.0,315.0
241,75.0,316.0
242,75.0,317.0
243,75.0,318.0
244,75.0,319.0
245,75.0,320.0
246,75.0,321.0
247,75.0,322.0
248,75.0,323.0
249,75.0,324.0
250,75.0,325.0
251,75.0,326.0
252,75.0,327.0
253,75.0,328.0
254,75.0,329.0
255,75.0,330.0
256,75.0,331.0
257,75.0,332.0
258,75.0,333.0
259,75.0,334.0
260,75.0,335.0
261,75.0,336.0
262,75.0,337.0
263,75.0,338.0
264,75.0,339.0
265,75.0,340.0
266,75.0,341.0
267,75.0,342.0
268,75.0,343.0
269,75.0,344.0
270,75.0,345.0
271,75.0,344.0
272,75.0,343.0
273,75.0,342.0
274,75.0,341.0
275,75.0,340.0
276,75.0,339.0
277,75.0,338.0
278,75.0,337.0
279,75.0,336.0
280,75.0,335.0
281,75.0,334.0
282,75.0,333.0
283,75.0,332.0
284,75.0,331.0
285,75.0,330.0
286,75.0,329.0
287,75.0,328.0
288,75.0,327.0
289,75.0,326.0
290,75.0,325.0
291,75.0,326.0
292,75.0,327.0
293,75.0,328.0
294,75.0,329.0
295,75.0,330.0
296,75.0,331.0
297,75.0,332.0
298,75.0,333.0
299,75.0,334.0
300,75.0,335.0
301,75.0,336.0
302,75.0,337.0
303,75.0,338.0
304,75.0,339.0
305,75.0,340.0
306,75.0,341.0
307,75.0,342.0
308,75.0,343.0
309,75.0,344.0
310,75.0,345.0
311,75.0,346.0
312,75.0,347.0
313,75.0,348.0
314,75.0,349.0
315,75.0,350.0
316,75.0,351.0
317,75.0,352.0
318,75.0,353.0
319,75.0,354.0
320,75.0,355.0
321,75.0,356.0
322,75.0,357.0
323,75.0,358.0
324,75.0,359.0
325,75.0,360.0
326,75.0,361.0
327,75.0,362.0
328,75.0,363.0
329,75.0,364.0
330,75.0,365.0
331,75.0,364.0
332,75.0,363.0
333,75.0,362.0
334,75.0,361.0
335,75.0,360.0
336,75.0,359.0
337,75.0,358.0
338,75.0,357.0
339,75.0,356.0
340,75.0,355.0
341,74.0,355.0
342,73.0,355.0
343,72.0,355.0
344,71.0,355.0
345,70.0,355.0
346,69.0,355.0
347,68.0,355.0
348,67.0,355.0
349,66.0,355.0
350,65.0,355.0
351,66.0,355.0
352,67.0,355.0
353,68.0,355.0
354,69.0,355.0
355,70.0,355.0
356,71.0,355.0
357,72.0,355.0
358,73.0,355.0
359,74.0,355.0
360,75.0,355.0
361,74.0,355.0
362,73.0,355.0
363,72.0,355.0
364,71.0,355.0
365,70.0,355.0
366,69.0,355.0
367,68.0,355.0
368,67.0,355.0
369,66.0,355.0
370,65.0,355.0
371,64.0,355.0
372,63.0,355.0
373,62.0,355.0
374,61.0,355.0
375,60.0,355.0
376,59.0,355.0
377,58.0,355.0
378,57.0,355.0
379,56.0,355.0
380,55.0,355.0
381,54.0,355.0
382,53.0,355.0
383,52.0,355.0
384,51.0,355.0
385,50.0,355.0
386,49.0,355.0
387,48.0,355.0
388,47.0,355.0
389,46.0,355.0
390,45.0,355.0
391,44.0,355.0
392,43.0,355.0
393,42.0,355.0
394,41.0,355.0
395,40.0,355.0
396,39.0,355.0
397,38.0,355.0
398,37.0,355.0
399,36.0,355.0
400,35.0,355.0
401,36.0,355.0
402,37.0,355.0
403,38.0,355.0
404,39.0,355.0
405,40.0,355.0
406,41.0,355.0
407,42.0,355.0
408,43.0,355.0
409,44.0,355.0
410,45.0,355.0
411,46.0,355.0
412,47.0,355.0
413,48.0,355.0
414,49.0,355.0
415,50.0,355.0
416,51.0,355.0
417,52.0,355.0
418,53.0,355.0
419,54.0,355.0
420,55.0,355.0
421,54.0,355.0
422,53.0,355.0
423,52.0,355.0
424,51.0,355.0
425,50.0,355.0
426,49.0,355.0
427,48.0,355.0
428,47.0,355.0
429,46.0,355.0
430,45.0,355.0
431,44.0,355.0
432,43.0,355.0
433,42.0,355.0
434,41.0,355.0
435,40.0,355.0
436,39.0,355.0
437,38.0,355.0
438,37.0,355.0
439,36.0,355.0
440,35.0,355.0
441,34.0,355.0
442,33.0,355.0
443,32.0,355.0
444,31.0,355.0
445,30.0,355.0
446,29.0,355.0
447,28.0,355.0
448,27.0,355.0
449,26.0,355.0
450,25.0,355.0
451,26.0,355.0
452,27.0,355.0
453,28.0,355.0
454,29.0,355.0
455,30.0,355.0
456,31.0,355.0
457,32.0,355.0
458,33.0,355.0
459,34.0,355.0
460,35.0,355.0
461,36.0,355.0
