index,x_pos,y_pos,z_pos
0,345.0,75.0,110.0
1,344.0,75.0,110.0
2,343.0,75.0,110.0
3,342.0,75.0,110.0
4,341.0,75.0,110.0
5,340.0,75.0,110.0
6,339.0,75.0,110.0
7,338.0,75.0,110.0
8,337.0,75.0,110.0
9,336.0,75.0,110.0
10,335.0,75.0,110.0
11,334.0,75.0,110.0
12,333.0,75.0,110.0
13,332.0,75.0,110.0
14,331.0,75.0,110.0
15,330.0,75.0,110.0
16,329.0,75.0,110.0
17,328.0,75.0,110.0
18,327.0,75.0,110.0
19,326.0,75.0,110.0
20,325.0,75.0,110.0
21,326.0,75.0,110.0
22,327.0,75.0,110.0
23,328.0,75.0,110.0
24,329.0,75.0,110.0
25,330.0,75.0,110.0
26,331.0,75.0,110.0
27,332.0,75.0,110.0
28,333.0,75.0,110.0
29,334.0,75.0,110.0
30,335.0,75.0,110.0
31,334.0,75.0,110.0
32,333.0,75.0,110.0
33,332.0,75.0,110.0
34,331.0,75.0,110.0
35,330.0,75.0,110.0
36,329.0,75.0,110.0
37,328.0,75.0,110.0
38,327.0,75.0,110.0
39,326.0,75.0,110.0
40,325.0,75.0,110.0
41,326.0,75.0,110.0
42,327.0,75.0,110.0
43,328.0,75.0,110.0
44,329.0,75.0,110.0
45,330.0,75.0,110.0
46,331.0,75.0,110.0
47,332.0,75.0,110.0
48,333.0,75.0,110.0
49,334.0,75.0,110.0
50,335.0,75.0,110.0
51,336.0,75.0,110.0
52,337.0,75.0,110.0
53,338.0,75.0,110.0
54,339.0,75.0,110.0
55,340.0,75.0,110.0
56,341.0,75.0,110.0
57,342.0,75.0,110.0
58,343.0,75.0,110.0
59,344.0,75.0,110.0
60,345.0,75.0,110.0
61,344.0,75.0,110.0
62,343.0,75.0,110.0
63,342.0,75.0,110.0
64,341.0,75.0,110.0
65,340.0,75.0,110.0
66,339.0,75.0,110.0
67,338.0,75.0,110.0
68,337.0,75.0,110.0
69,336.0,75.0,110.0
70,335.0,75.0,110.0
71,336.0,75.0,110.0
72,337.0,75.0,110.0
73,338.0,75.0,110.0
74,339.0,75.0,110.0
75,340.0,75.0,110.0
76,341.0,75.0,110.0
77,342.0,75.0,110.0
78,343.0,75.0,110.0
79,344.0,75.0,110.0
80,345.0,75.0,110.0
81,346.0,75.0,110.0
82,347.0,75.0,110.0
83,348.0,75.0,110.0
84,349.0,75.0,110.0
85,350.0,75.0,110.0
86,351.0,75.0,110.0
87,352.0,75.0,110.0
88,353.0,75.0,110.0
89,354.0,75.0,110.0
90,355.0,75.0,110.0
91,354.0,75.0,110.0
92,353.0,75.0,110.0
93,352.0,75.0,110.0
94,351.0,75.0,110.0
95,350.0,75.0,110.0
96,349.0,75.0,110.0
97,348.0,75.0,110.0
98,347.0,75.0,110.0
99,346.0,75.0,110.0
100,345.0,75.0,110.0
101,346.0,75.0,110.0
102,347.0,75.0,110.0
103,348.0,75.0,110.0
104,349.0,75.0,110.0
105,350.0,75.0,110.0
106,351.0,75.0,110.0
107,352.0,75.0,110.0
108,353.0,75.0,110.0
109,354.0,75.0,110.0
110,355.0,75.0,110.0
111,355.0,74.0,110.0
112,355.0,73.0,110.0
113,355.0,72.0,110.0
114,355.0,71.0,110.0
115,355.0,70.0,110.0
116,355.0,69.0,110.0
117,355.0,68.0,110.0
118,355.0,67.0,110.0
119,355.0,66.0,110.0
120,355.0,65.0,110.0
121,355.0,64.0,110.0
122,355.0,63.0,110.0
123,355.0,62.0,110.0
124,355.0,61.0,110.0
125,355.0,60.0,110.0
126,355.0,59.0,110.0
127,355.0,58.0,110.0
128,355.0,57.0,110.0
129,355.0,56.0,110.0
130,355.0,55.0,110.0
131,355.0,54.0,110.0
132,355.0,53.0,110.0
133,355.0,52.0,110.0
134,355.0,51.0,110.0
135,355.0,50.0,110.0
136,355.0,49.0,110.0
137,355.0,48.0,110.0
138,355.0,47.0,110.0
139,355.0,46.0,110.0
140,355.0,45.0,110.0
141,355.0,46.0,110.0
142,355.0,47.0,110.0
143,355.0,48.0,110.0
144,355.0,49.0,110.0
145,355.0,50.0,110.0
146,355.0,51.0,110.0
147,355.0,52.0,110.0
148,355.0,53.0,110.0
149,355.0,54.0,110.0
150,355.0,55.0,110.0
151,355.0,56.0,110.0
152,355.0,57.0,110.0
153,355.0,58.0,110.0
154,355.0,59.0,110.0
155,355.0,60.0,110.0
156,355.0,61.0,110.0
157,355.0,62.0,110.0
158,355.0,63.0,110.0
159,355.0,64.0,110.0
160,355.0,65.0,110.0
161,355.0,64.0,110.0
162,355.0,63.0,110.0
163,355.0,62.0,110.0
164,355.0,61.0,110.0
165,355.0,60.0,110.0
166,355.0,59.0,110.0
167,355.0,58.0,110.0
168,355.0,57.0,110.0
169,355.0,56.0,110.0
170,355.0,55.0,110.0
171,355.0,56.0,110.0
172,355.0,57.0,110.0
173,355.0,58.0,110.0
174,355.0,59.0,110.0
175,355.0,60.0,110.0
176,355.0,61.0,110.0
177,355.0,62.0,110.0
178,355.0,63.0,110.0
179,355.0,64.0,110.0
180,355.0,65.0,110.0
181,355.0,66.0,110.0
182,355.0,67.0,110.0
183,355.0,68.0,110.0
184,355.0,69.0,110.0
185,355.0,70.0,110.0
186,355.0,71.0,110.0
187,355.0,72.0,110.0
188,355.0,73.0,110.0
189,355.0,74.0,110.0
190,355.0,75.0,110.0
