index,x_pos,y_pos
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,7
9,0,8
10,0,9
11,0,10
12,0,9
13,0,8
14,0,9
15,0,8
16,0,9
17,0,8
18,0,9
19,0,10
20,0,11
21,0,12
22,0,13
23,0,12
24,0,11
25,0,10
26,0,9
27,0,8
28,0,9
29,0,8
30,0,7
31,1,7
32,2,7
33,3,7
34,4,7
35,5,7
36,6,7
37,7,7
38,7,6
39,7,7
40,8,7
41,7,7
42,7,6
43,7,7
44,6,7
45,5,7
46,4,7
47,5,7
48,6,7
49,7,7
50,6,7
51,5,7
52,6,7
53,7,7
54,8,7
55,9,7
56,10,7
57,11,7
58,12,7
59,11,7
60,12,7
61,11,7
62,10,7
63,11,7
64,12,7
65,13,7
66,14,7
67,14,8
68,14,7
69,13,7
70,14,7
71,14,6
72,14,7
73,15,7
74,16,7
75,15,7
76,14,7
77,13,7
78,12,7
79,11,7
80,10,7
81,9,7
82,10,7
83,11,7
84,10,7
85,9,7
86,10,7
87,11,7
88,10,7
89,9,7
90,8,7
91,7,7
92,7,8
93,7,9
94,7,10
95,7,11
96,7,12
97,7,13
98,7,14
99,6,14
100,5,14
101,6,14
102,5,14
103,4,14
104,3,14
105,2,14
106,1,14
107,0,14
108,1,14
109,2,14
110,3,14
111,2,14
112,1,14
113,0,14
114,0,13
115,0,12
116,0,13
117,0,14
118,0,15
119,0,16
120,0,15
121,0,16
122,0,15
123,0,16
124,0,17
125,0,16
126,0,15
127,0,16
128,0,17
129,0,16
130,0,17
131,0,18
132,0,19
133,0,20
134,0,21
135,0,20
136,0,19
137,0,20
138,0,21
139,0,22
140,0,21
141,1,21
142,0,21
143,0,20
144,0,21
145,1,21
146,2,21
147,1,21
148,0,21
149,0,20
150,0,21
151,1,21
152,0,21
153,0,22
154,0,21
155,0,22
156,0,23
157,0,24
158,0,25
159,0,24
160,0,25
161,0,26
162,0,25
163,0,24
164,0,25
165,0,26
166,0,27
167,0,28
168,1,28
169,2,28
170,3,28
171,2,28
172,3,28
173,2,28
174,1,28
175,0,28
176,0,29
177,0,28
178,0,27
179,0,28
180,0,29
181,0,30
182,0,31
183,0,30
184,0,29
185,0,30
186,0,31
187,0,30
188,0,31
189,0,32
190,0,31
191,0,30
192,0,31
193,0,32
194,0,33
195,0,34
196,0,33
197,0,32
198,0,33
199,0,34
200,0,33
201,0,34
202,0,33
203,0,32
204,0,33
205,0,34
206,0,35
207,0,34
208,0,35
209,1,35
210,2,35
211,1,35
212,2,35
213,1,35
214,2,35
215,3,35
216,4,35
217,5,35
218,6,35
219,7,35
220,6,35
221,5,35
222,6,35
223,7,35
224,7,34
225,7,35
226,6,35
227,7,35
228,6,35
229,7,35
230,7,36
231,7,35
232,7,36
233,7,35
234,6,35
235,7,35
236,6,35
237,7,35
238,7,36
239,7,35
240,7,36
241,7,37
242,7,36
243,7,35
244,7,36
245,7,37
246,7,36
247,7,35
248,8,35
249,9,35
