index,x_pos,y_pos
0,1,0
1,0,0
2,1,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,5,0
9,6,0
10,7,0
11,8,0
12,7,0
13,7,1
14,7,2
15,7,3
16,7,2
17,7,3
18,7,2
19,7,3
20,7,4
21,7,5
22,7,4
23,7,5
24,7,6
25,7,7
26,8,7
27,7,7
28,7,8
29,7,9
30,7,8
31,7,7
32,7,6
33,7,7
34,7,6
35,7,7
36,6,7
37,7,7
38,6,7
39,5,7
40,6,7
41,7,7
42,7,8
43,7,7
44,7,8
45,7,7
46,7,8
47,7,9
48,7,10
49,7,9
50,7,10
51,7,11
52,7,10
53,7,9
54,7,10
55,7,9
56,7,8
57,7,9
58,7,8
59,7,9
60,7,8
61,7,7
62,6,7
63,5,7
64,6,7
65,7,7
66,6,7
67,5,7
68,4,7
69,5,7
70,4,7
71,5,7
72,6,7
73,7,7
74,8,7
75,9,7
76,8,7
77,9,7
78,8,7
79,9,7
80,10,7
81,11,7
82,12,7
83,13,7
84,14,7
85,14,8
86,14,9
87,14,10
88,14,9
89,14,10
90,14,9
91,14,8
92,14,9
93,14,8
94,14,9
95,14,10
96,14,9
97,14,8
98,14,9
99,14,10
100,14,11
101,14,12
102,14,13
103,14,12
104,14,13
105,14,14
106,14,15
107,14,16
108,14,17
109,14,18
110,14,19
111,14,20
112,14,21
113,14,22
114,14,21
115,13,21
116,14,21
117,14,20
118,14,21
119,14,20
120,14,19
121,14,20
122,14,19
123,14,18
124,14,19
125,14,20
126,14,21
127,15,21
128,14,21
129,15,21
130,16,21
131,17,21
132,18,21
133,17,21
134,16,21
135,15,21
136,16,21
137,17,21
138,16,21
139,17,21
140,16,21
141,17,21
142,16,21
143,17,21
144,16,21
145,17,21
146,18,21
147,17,21
148,18,21
149,17,21
150,18,21
151,19,21
152,20,21
153,21,21
154,22,21
155,23,21
156,24,21
157,25,21
158,26,21
159,25,21
160,24,21
161,25,21
162,26,21
163,25,21
164,26,21
165,25,21
166,26,21
167,27,21
168,28,21
169,28,20
170,28,21
171,27,21
172,28,21
173,28,22
174,28,21
175,29,21
176,28,21
177,27,21
178,26,21
179,25,21
180,26,21
181,27,21
182,26,21
183,27,21
184,28,21
185,29,21
186,30,21
187,31,21
188,32,21
189,33,21
190,32,21
191,33,21
192,32,21
193,33,21
194,34,21
195,35,21
196,36,21
197,35,21
198,35,22
199,35,21
200,36,21
201,37,21
202,38,21
203,37,21
204,38,21
205,37,21
206,38,21
207,39,21
208,38,21
209,37,21
210,38,21
211,39,21
212,40,21
213,41,21
214,42,21
