index,x_pos,y_pos
0,34,0
1,33,0
2,34,0
3,35,0
4,35,1
5,35,0
6,36,0
7,35,0
8,36,0
9,37,0
10,38,0
11,37,0
12,38,0
13,39,0
14,40,0
15,41,0
16,40,0
17,41,0
18,42,0
19,41,0
20,40,0
21,41,0
22,40,0
23,41,0
24,40,0
25,39,0
26,40,0
27,39,0
28,38,0
29,39,0
30,40,0
31,41,0
32,42,0
33,42,1
34,42,0
35,41,0
36,42,0
37,41,0
38,40,0
39,39,0
40,38,0
41,39,0
42,38,0
43,37,0
44,36,0
45,37,0
46,36,0
47,37,0
48,38,0
49,39,0
50,38,0
51,37,0
52,38,0
53,39,0
54,40,0
55,41,0
56,42,0
57,42,1
58,42,2
59,42,1
60,42,2
61,42,1
62,42,0
63,41,0
64,42,0
65,41,0
66,40,0
67,39,0
68,40,0
69,41,0
70,42,0
71,41,0
72,40,0
73,41,0
74,40,0
75,41,0
76,40,0
77,39,0
78,40,0
79,39,0
80,38,0
81,37,0
82,36,0
83,35,0
84,35,1
85,35,0
86,35,1
87,35,2
88,35,3
89,35,4
90,35,3
91,35,2
92,35,3
93,35,4
94,35,5
95,35,4
96,35,5
97,35,6
98,35,5
99,35,6
100,35,7
101,36,7
102,35,7
103,35,6
104,35,7
105,35,8
106,35,7
107,34,7
108,35,7
109,36,7
110,35,7
111,35,6
112,35,7
113,34,7
114,35,7
115,36,7
116,37,7
117,38,7
118,37,7
119,38,7
120,39,7
121,38,7
122,37,7
123,36,7
124,37,7
125,36,7
126,37,7
127,36,7
128,35,7
129,35,8
130,35,9
131,35,10
132,35,11
133,35,12
134,35,11
135,35,10
136,35,9
137,35,10
138,35,9
139,35,8
140,35,9
141,35,10
142,35,11
143,35,12
144,35,13
145,35,14
146,35,15
147,35,14
148,34,14
149,33,14
150,34,14
151,35,14
152,36,14
153,37,14
154,38,14
155,39,14
156,38,14
157,39,14
158,38,14
159,39,14
160,40,14
161,41,14
162,40,14
163,41,14
164,42,14
165,41,14
166,40,14
167,39,14
168,38,14
169,39,14
170,38,14
171,39,14
172,38,14
173,39,14
174,40,14
175,41,14
176,42,14
177,42,13
178,42,14
179,42,13
180,42,12
181,42,11
182,42,10
183,42,9
184,42,8
185,42,9
186,42,10
187,42,11
188,42,10
189,42,11
190,42,12
191,42,13
192,42,14
193,42,13
194,42,14
195,42,15
196,42,14
197,42,15
198,42,16
199,42,15
200,42,14
201,42,13
202,42,12
203,42,11
204,42,10
205,42,11
206,42,12
207,42,13
208,42,14
209,41,14
210,42,14
211,42,15
212,42,16
213,42,17
214,42,16
215,42,17
216,42,18
217,42,17
218,42,16
219,42,17
220,42,18
221,42,19
222,42,18
223,42,19
224,42,18
225,42,19
226,42,18
227,42,17
228,42,18
229,42,19
230,42,18
231,42,19
232,42,18
233,42,17
234,42,18
235,42,19
236,42,18
237,42,17
238,42,16
239,42,15
240,42,16
241,42,17
242,42,16
243,42,17
244,42,18
245,42,17
246,42,18
247,42,19
248,42,20
249,42,21
250,42,20
251,42,21
252,42,22
253,42,21
254,42,22
255,42,23
256,42,22
257,42,21
258,42,22
259,42,23
260,42,22
261,42,21
262,41,21
263,42,21
264,42,20
265,42,19
266,42,20
267,42,19
268,42,20
269,42,19
270,42,18
271,42,17
272,42,16
273,42,15
274,42,16
275,42,17
276,42,18
277,42,17
278,42,16
279,42,15
280,42,14
281,42,15
282,42,14
283,42,15
284,42,16
285,42,15
286,42,14
287,41,14
288,42,14
289,42,15
290,42,14
291,42,13
292,42,12
293,42,13
294,42,12
295,42,13
296,42,14
297,41,14
298,42,14
299,42,13
300,42,14
301,42,13
302,42,14
303,42,15
304,42,14
305,42,15
306,42,16
307,42,17
308,42,16
309,42,17
310,42,18
311,42,19
312,42,18
313,42,19
314,42,20
315,42,19
316,42,18
317,42,19
318,42,20
319,42,21
320,42,20
321,42,19
322,42,18
323,42,17
324,42,18
325,42,17
326,42,18
327,42,19
328,42,18
329,42,19
330,42,20
331,42,19
332,42,20
333,42,19
334,42,20
335,42,19
336,42,20
337,42,21
338,42,20
339,42,21
340,42,20
341,42,21
342,42,20
343,42,21
344,41,21
345,40,21
346,41,21
347,42,21
348,42,22
349,42,21
350,42,22
351,42,21
352,41,21
353,40,21
354,39,21
355,38,21
356,39,21
357,40,21
358,39,21
359,38,21
360,37,21
361,38,21
362,37,21
363,36,21
364,35,21
365,34,21
366,35,21
367,35,22
368,35,23
369,35,22
370,35,21
371,35,22
372,35,23
373,35,22
374,35,21
375,35,22
376,35,21
377,35,20
378,35,21
379,35,20
380,35,21
381,36,21
382,37,21
383,38,21
384,39,21
385,38,21
386,37,21
387,36,21
388,35,21
389,36,21
390,35,21
391,35,22
392,35,23
393,35,24
394,35,23
395,35,24
396,35,25
397,35,24
398,35,23
399,35,22
400,35,23
401,35,24
402,35,25
403,35,26
404,35,25
405,35,26
406,35,27
407,35,26
408,35,25
409,35,24
410,35,25
411,35,26
412,35,27
413,35,26
414,35,25
415,35,24
416,35,25
417,35,26
418,35,25
419,35,24
420,35,23
421,35,24
422,35,25
423,35,24
424,35,25
425,35,24
426,35,25
427,35,24
428,35,23
429,35,22
430,35,23
431,35,22
432,35,21
433,34,21
434,33,21
435,32,21
436,31,21
437,30,21
438,29,21
439,28,21
440,28,20
441,28,19
442,28,18
443,28,17
444,28,16
445,28,15
446,28,14
447,28,13
448,28,14
449,29,14
450,30,14
451,31,14
452,32,14
453,31,14
454,30,14
455,29,14
456,28,14
457,28,15
458,28,16
459,28,15
460,28,16
461,28,15
462,28,14
463,29,14
464,28,14
465,29,14
466,30,14
467,29,14
468,28,14
469,28,13
470,28,12
471,28,13
472,28,14
473,27,14
474,26,14
475,25,14
476,24,14
477,23,14
478,22,14
479,23,14
480,22,14
481,23,14
482,22,14
483,21,14
484,20,14
485,19,14
486,18,14
487,19,14
488,18,14
489,19,14
490,18,14
491,19,14
492,18,14
493,19,14
494,20,14
495,21,14
496,21,13
497,21,12
498,21,13
499,21,12
500,21,13
501,21,12
502,21,13
503,21,14
504,21,15
505,21,16
506,21,15
507,21,14
508,21,15
509,21,16
510,21,17
511,21,16
512,21,15
513,21,16
514,21,17
515,21,16
516,21,17
517,21,18
518,21,17
519,21,18
520,21,19
521,21,18
522,21,17
523,21,18
524,21,19
525,21,20
526,21,19
527,21,18
528,21,17
529,21,18
530,21,17
531,21,18
532,21,17
533,21,16
534,21,15
535,21,16
536,21,17
537,21,18
538,21,17
539,21,18
