index,x_pos,y_pos,z_pos
0,205.0,5.0,300.0
1,204.0,5.0,300.0
2,203.0,5.0,300.0
3,202.0,5.0,300.0
4,201.0,5.0,300.0
5,200.0,5.0,300.0
6,199.0,5.0,300.0
7,198.0,5.0,300.0
8,197.0,5.0,300.0
9,196.0,5.0,300.0
10,195.0,5.0,300.0
11,194.0,5.0,300.0
12,193.0,5.0,300.0
13,192.0,5.0,300.0
14,191.0,5.0,300.0
15,190.0,5.0,300.0
16,189.0,5.0,300.0
17,188.0,5.0,300.0
18,187.0,5.0,300.0
19,186.0,5.0,300.0
20,185.0,5.0,300.0
21,186.0,5.0,300.0
22,187.0,5.0,300.0
23,188.0,5.0,300.0
24,189.0,5.0,300.0
25,190.0,5.0,300.0
26,191.0,5.0,300.0
27,192.0,5.0,300.0
28,193.0,5.0,300.0
29,194.0,5.0,300.0
30,195.0,5.0,300.0
31,194.0,5.0,300.0
32,193.0,5.0,300.0
33,192.0,5.0,300.0
34,191.0,5.0,300.0
35,190.0,5.0,300.0
36,189.0,5.0,300.0
37,188.0,5.0,300.0
38,187.0,5.0,300.0
39,186.0,5.0,300.0
40,185.0,5.0,300.0
41,184.0,5.0,300.0
42,183.0,5.0,300.0
43,182.0,5.0,300.0
44,181.0,5.0,300.0
45,180.0,5.0,300.0
46,179.0,5.0,300.0
47,178.0,5.0,300.0
48,177.0,5.0,300.0
49,176.0,5.0,300.0
50,175.0,5.0,300.0
51,174.0,5.0,300.0
52,173.0,5.0,300.0
53,172.0,5.0,300.0
54,171.0,5.0,300.0
55,170.0,5.0,300.0
56,169.0,5.0,300.0
57,168.0,5.0,300.0
58,167.0,5.0,300.0
59,166.0,5.0,300.0
60,165.0,5.0,300.0
61,164.0,5.0,300.0
62,163.0,5.0,300.0
63,162.0,5.0,300.0
64,161.0,5.0,300.0
65,160.0,5.0,300.0
66,159.0,5.0,300.0
67,158.0,5.0,300.0
68,157.0,5.0,300.0
69,156.0,5.0,300.0
70,155.0,5.0,300.0
71,154.0,5.0,300.0
72,153.0,5.0,300.0
73,152.0,5.0,300.0
74,151.0,5.0,300.0
75,150.0,5.0,300.0
76,149.0,5.0,300.0
77,148.0,5.0,300.0
78,147.0,5.0,300.0
79,146.0,5.0,300.0
80,145.0,5.0,300.0
81,144.0,5.0,300.0
82,143.0,5.0,300.0
83,142.0,5.0,300.0
84,141.0,5.0,300.0
85,140.0,5.0,300.0
86,139.0,5.0,300.0
87,138.0,5.0,300.0
88,137.0,5.0,300.0
89,136.0,5.0,300.0
90,135.0,5.0,300.0
91,134.0,5.0,300.0
92,133.0,5.0,300.0
93,132.0,5.0,300.0
94,131.0,5.0,300.0
95,130.0,5.0,300.0
96,129.0,5.0,300.0
97,128.0,5.0,300.0
98,127.0,5.0,300.0
99,126.0,5.0,300.0
100,125.0,5.0,300.0
101,126.0,5.0,300.0
102,127.0,5.0,300.0
103,128.0,5.0,300.0
104,129.0,5.0,300.0
105,130.0,5.0,300.0
106,131.0,5.0,300.0
107,132.0,5.0,300.0
108,133.0,5.0,300.0
109,134.0,5.0,300.0
110,135.0,5.0,300.0
111,134.0,5.0,300.0
112,133.0,5.0,300.0
113,132.0,5.0,300.0
114,131.0,5.0,300.0
115,130.0,5.0,300.0
116,129.0,5.0,300.0
117,128.0,5.0,300.0
118,127.0,5.0,300.0
119,126.0,5.0,300.0
120,125.0,5.0,300.0
121,124.0,5.0,300.0
122,123.0,5.0,300.0
123,122.0,5.0,300.0
124,121.0,5.0,300.0
125,120.0,5.0,300.0
126,119.0,5.0,300.0
127,118.0,5.0,300.0
128,117.0,5.0,300.0
129,116.0,5.0,300.0
130,115.0,5.0,300.0
131,114.0,5.0,300.0
132,113.0,5.0,300.0
133,112.0,5.0,300.0
134,111.0,5.0,300.0
135,110.0,5.0,300.0
136,109.0,5.0,300.0
137,108.0,5.0,300.0
138,107.0,5.0,300.0
139,106.0,5.0,300.0
140,105.0,5.0,300.0
141,104.0,5.0,300.0
142,103.0,5.0,300.0
143,102.0,5.0,300.0
144,101.0,5.0,300.0
145,100.0,5.0,300.0
146,99.0,5.0,300.0
147,98.0,5.0,300.0
148,97.0,5.0,300.0
149,96.0,5.0,300.0
150,95.0,5.0,300.0
151,94.0,5.0,300.0
152,93.0,5.0,300.0
153,92.0,5.0,300.0
154,91.0,5.0,300.0
155,90.0,5.0,300.0
156,89.0,5.0,300.0
157,88.0,5.0,300.0
158,87.0,5.0,300.0
159,86.0,5.0,300.0
160,85.0,5.0,300.0
161,84.0,5.0,300.0
162,83.0,5.0,300.0
163,82.0,5.0,300.0
164,81.0,5.0,300.0
165,80.0,5.0,300.0
166,79.0,5.0,300.0
167,78.0,5.0,300.0
168,77.0,5.0,300.0
169,76.0,5.0,300.0
