name,x_pos,y_pos
g0,35,21
g1,35,21
g2,7,21
g3,35,42
g4,28,35
g5,21,35
g6,14,0
g7,7,0
g8,14,0
g9,7,21
g10,7,21
g11,14,14
g12,21,42
g13,28,14
g14,14,0
g15,7,21
g16,28,14
g17,7,0
g18,14,14
g19,21,14
g20,7,14
g21,14,0
g22,21,14
g23,21,14
g24,28,21
g25,28,35
g26,28,7
g27,14,7
g28,21,7
g29,14,14
g30,21,0
g31,35,35
g32,21,14
g33,14,14
g34,14,35
g35,14,35
g36,7,7
g37,7,35
g38,35,0
g39,21,7
g40,14,7
g41,7,42
g42,14,35
g43,35,14
g44,28,7
g45,14,7
g46,14,14
g47,35,14
g48,28,14
g49,7,42
g50,21,21
g51,7,0
g52,28,35
g53,28,14
g54,21,35
g55,7,21
g56,7,42
g57,21,7
g58,28,14
g59,28,42
g60,28,7
g61,7,28
g62,7,28
g63,28,0
g64,28,35
g65,14,21
g66,7,42
g67,21,42
g68,14,28
g69,28,21
g70,14,0
g71,14,14
g72,14,28
g73,7,0
g74,35,28
g75,14,14
g76,28,42
g77,14,14
g78,28,21
g79,7,7
g80,28,42
g81,28,42
g82,14,28
g83,21,28
g84,28,42
g85,7,21
g86,21,0
g87,14,14
g88,28,14
g89,14,35
g90,21,42
g91,21,14
g92,21,0
g93,35,0
g94,7,28
g95,21,0
g96,14,14
g97,7,21
g98,21,28
