index,x_pos,y_pos
0,1,0
1,0,0
2,0,1
3,0,2
4,0,3
5,0,2
6,0,1
7,0,0
8,1,0
9,2,0
10,1,0
11,2,0
12,1,0
13,2,0
14,1,0
15,0,0
16,0,1
17,0,2
18,0,3
19,0,4
20,0,5
21,0,6
22,0,5
23,0,6
24,0,5
25,0,4
26,0,5
27,0,6
28,0,7
29,1,7
30,2,7
31,3,7
32,2,7
33,1,7
34,2,7
35,3,7
36,4,7
37,3,7
38,4,7
39,3,7
40,4,7
41,3,7
42,4,7
43,3,7
44,4,7
45,3,7
46,4,7
47,5,7
48,6,7
49,7,7
50,7,8
51,7,9
52,7,10
53,7,11
54,7,12
55,7,13
56,7,14
57,7,13
58,7,12
59,7,11
60,7,12
61,7,13
62,7,14
63,6,14
64,7,14
65,6,14
66,5,14
67,6,14
68,5,14
69,6,14
70,7,14
71,7,15
72,7,16
73,7,17
