index,x_pos,y_pos
0,0,1
1,0,0
2,1,0
3,0,0
4,0,1
5,0,2
6,0,3
7,0,2
8,0,1
9,0,0
10,1,0
11,0,0
12,0,1
13,0,0
14,1,0
15,0,0
16,0,1
17,0,2
18,0,1
19,0,0
20,1,0
21,2,0
22,3,0
23,4,0
24,3,0
25,4,0
26,3,0
27,4,0
28,5,0
29,6,0
30,7,0
31,6,0
32,7,0
33,7,1
34,7,2
35,7,1
36,7,2
37,7,3
38,7,4
39,7,3
40,7,4
41,7,5
42,7,4
43,7,5
44,7,6
45,7,5
46,7,6
47,7,5
48,7,4
49,7,5
50,7,6
51,7,7
52,7,8
53,7,9
54,7,8
55,7,9
56,7,10
57,7,9
58,7,10
59,7,11
60,7,12
61,7,11
62,7,12
63,7,11
64,7,12
65,7,11
66,7,12
67,7,11
68,7,12
69,7,11
70,7,12
71,7,13
72,7,14
73,6,14
74,7,14
75,6,14
76,5,14
77,6,14
78,5,14
79,4,14
80,3,14
81,2,14
82,1,14
83,0,14
84,1,14
85,2,14
86,1,14
87,2,14
88,1,14
89,0,14
90,1,14
91,2,14
92,3,14
93,4,14
94,5,14
95,6,14
96,5,14
97,6,14
98,5,14
99,6,14
100,7,14
101,7,13
102,7,14
103,7,15
104,7,16
105,7,17
106,7,16
107,7,17
108,7,18
109,7,19
110,7,18
111,7,19
112,7,20
113,7,21
114,8,21
115,9,21
116,8,21
117,9,21
118,8,21
119,7,21
120,7,22
121,7,23
122,7,24
123,7,23
124,7,22
125,7,23
126,7,24
127,7,25
128,7,26
129,7,27
130,7,28
131,7,29
132,7,30
133,7,29
134,7,28
135,6,28
136,5,28
137,4,28
138,5,28
139,6,28
140,7,28
141,8,28
142,7,28
143,7,27
144,7,28
145,8,28
146,9,28
147,10,28
148,11,28
149,10,28
150,9,28
151,8,28
152,9,28
153,10,28
154,11,28
155,12,28
156,13,28
157,12,28
158,13,28
159,14,28
160,15,28
161,16,28
162,15,28
163,14,28
164,14,27
165,14,28
166,14,29
167,14,30
168,14,29
169,14,28
170,13,28
171,14,28
172,14,29
173,14,28
174,15,28
175,16,28
176,15,28
177,14,28
178,14,27
179,14,28
180,14,29
181,14,30
182,14,31
183,14,30
184,14,31
185,14,32
186,14,33
187,14,32
188,14,31
189,14,30
190,14,31
191,14,30
192,14,31
193,14,30
194,14,31
195,14,30
196,14,29
197,14,30
198,14,31
199,14,32
200,14,33
201,14,34
202,14,35
203,14,36
204,14,35
205,13,35
206,14,35
207,14,34
208,14,33
209,14,32
210,14,33
211,14,34
212,14,35
213,14,34
214,14,35
215,14,34
216,14,35
217,14,36
218,14,37
219,14,38
220,14,39
221,14,40
222,14,39
223,14,40
224,14,41
225,14,40
226,14,41
227,14,42
228,15,42
229,14,42
230,15,42
231,16,42
232,15,42
233,16,42
234,17,42
235,16,42
236,15,42
237,16,42
238,17,42
239,18,42
240,19,42
241,20,42
242,19,42
243,20,42
244,21,42
