index,x_pos,y_pos
0,1,0
1,2,0
2,3,0
3,2,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
9,6,0
10,7,0
11,7,1
12,7,0
13,7,1
14,7,2
15,7,3
16,7,4
17,7,3
18,7,2
19,7,3
20,7,4
21,7,5
22,7,6
23,7,5
24,7,4
25,7,3
26,7,4
27,7,3
28,7,4
29,7,5
30,7,4
31,7,5
32,7,6
33,7,7
34,7,8
35,7,7
36,7,8
37,7,9
38,7,8
39,7,9
40,7,8
41,7,9
42,7,10
43,7,11
44,7,12
45,7,13
46,7,12
47,7,13
48,7,14
49,6,14
50,7,14
51,6,14
52,7,14
53,6,14
54,7,14
55,6,14
56,7,14
57,7,13
58,7,14
59,8,14
60,7,14
61,8,14
62,7,14
63,7,15
64,7,16
65,7,17
66,7,18
67,7,17
68,7,18
69,7,19
70,7,20
71,7,21
72,8,21
73,9,21
74,8,21
75,9,21
76,8,21
77,7,21
78,8,21
79,7,21
80,7,20
81,7,21
82,8,21
83,9,21
84,10,21
85,11,21
