index,x_pos,y_pos
0,0,19
1,0,18
2,0,19
3,0,20
4,0,19
5,0,18
6,0,19
7,0,20
8,0,19
9,0,18
10,0,19
11,0,18
12,0,17
13,0,16
14,0,15
15,0,16
16,0,15
17,0,14
18,1,14
19,2,14
20,1,14
21,0,14
22,1,14
23,0,14
24,0,15
25,0,14
26,0,15
27,0,14
28,1,14
29,2,14
30,3,14
31,2,14
32,3,14
33,4,14
34,5,14
35,4,14
36,5,14
37,6,14
38,7,14
39,6,14
40,5,14
41,4,14
42,3,14
43,2,14
44,1,14
45,0,14
46,0,15
47,0,14
48,1,14
49,0,14
50,0,13
51,0,14
52,0,15
53,0,16
54,0,15
55,0,16
56,0,17
57,0,16
58,0,17
59,0,16
60,0,17
61,0,16
62,0,15
63,0,14
64,0,13
65,0,12
66,0,11
67,0,12
68,0,13
69,0,14
70,0,13
71,0,14
72,0,13
73,0,14
74,0,13
75,0,14
76,0,15
77,0,16
78,0,17
79,0,16
80,0,17
81,0,16
82,0,15
83,0,14
84,0,15
85,0,14
86,0,15
87,0,14
88,0,13
89,0,12
90,0,13
91,0,14
92,1,14
93,0,14
94,0,15
95,0,14
96,0,15
97,0,16
98,0,15
99,0,16
100,0,15
101,0,16
102,0,15
103,0,14
104,1,14
105,2,14
106,1,14
107,2,14
108,1,14
109,0,14
110,0,13
111,0,12
112,0,13
113,0,14
114,0,13
115,0,14
116,0,13
117,0,12
118,0,11
119,0,12
120,0,13
121,0,12
122,0,11
123,0,10
124,0,11
125,0,10
126,0,11
127,0,12
128,0,11
129,0,12
130,0,11
131,0,12
132,0,13
133,0,12
134,0,13
135,0,12
136,0,13
137,0,12
138,0,11
139,0,12
140,0,13
141,0,12
142,0,11
143,0,12
144,0,11
145,0,12
146,0,11
147,0,10
148,0,11
149,0,12
150,0,11
151,0,10
152,0,9
153,0,8
154,0,9
155,0,8
156,0,7
157,0,8
158,0,7
159,1,7
160,0,7
161,0,8
162,0,9
163,0,8
164,0,7
165,1,7
166,0,7
167,0,6
168,0,5
169,0,4
170,0,3
171,0,2
172,0,3
173,0,2
174,0,1
175,0,0
176,0,1
177,0,0
178,1,0
179,0,0
180,0,1
181,0,0
182,1,0
183,0,0
184,0,1
185,0,0
186,1,0
187,2,0
188,3,0
189,2,0
190,3,0
191,4,0
192,3,0
193,4,0
194,5,0
195,4,0
196,5,0
197,4,0
198,3,0
199,2,0
200,3,0
201,4,0
202,5,0
203,6,0
204,5,0
205,6,0
206,7,0
207,6,0
208,5,0
209,4,0
210,3,0
211,2,0
212,1,0
213,2,0
214,1,0
215,2,0
216,3,0
217,4,0
218,3,0
219,4,0
220,3,0
221,4,0
222,3,0
223,4,0
224,5,0
225,6,0
226,7,0
227,6,0
228,5,0
229,4,0
230,3,0
231,2,0
232,3,0
233,4,0
234,3,0
235,2,0
236,3,0
237,4,0
238,3,0
239,2,0
240,1,0
241,0,0
242,1,0
243,2,0
244,3,0
245,2,0
246,1,0
247,0,0
248,1,0
249,0,0
250,0,1
251,0,2
252,0,3
253,0,4
254,0,3
255,0,4
256,0,3
257,0,2
258,0,1
259,0,0
260,1,0
261,0,0
262,1,0
263,0,0
264,0,1
265,0,2
266,0,3
267,0,2
268,0,3
269,0,4
270,0,5
271,0,4
272,0,3
273,0,4
274,0,3
275,0,4
276,0,3
277,0,4
278,0,5
279,0,4
280,0,3
281,0,2
282,0,3
283,0,2
284,0,3
285,0,4
286,0,3
287,0,4
288,0,5
289,0,4
290,0,5
291,0,4
292,0,5
293,0,6
