index,x_pos,y_pos
0,1,0
1,2,0
2,3,0
3,4,0
4,3,0
5,4,0
6,5,0
7,6,0
8,7,0
9,6,0
10,5,0
11,6,0
12,7,0
13,8,0
14,9,0
15,8,0
16,7,0
17,8,0
18,9,0
19,8,0
20,9,0
21,8,0
22,9,0
23,10,0
24,9,0
25,10,0
26,9,0
27,10,0
28,11,0
29,12,0
30,11,0
31,10,0
32,9,0
33,8,0
34,7,0
35,8,0
36,9,0
37,10,0
38,9,0
39,10,0
40,11,0
41,12,0
42,11,0
43,12,0
44,11,0
45,10,0
46,11,0
47,12,0
48,11,0
49,10,0
50,11,0
51,10,0
52,9,0
53,10,0
54,11,0
55,12,0
56,13,0
57,12,0
58,13,0
59,12,0
60,11,0
61,12,0
62,11,0
63,12,0
64,13,0
65,12,0
66,11,0
67,12,0
68,11,0
69,12,0
70,13,0
71,14,0
72,14,1
73,14,0
74,15,0
75,14,0
76,13,0
77,12,0
78,13,0
79,14,0
80,15,0
81,16,0
82,17,0
83,16,0
84,17,0
85,16,0
86,17,0
87,18,0
88,19,0
89,20,0
90,19,0
91,18,0
92,17,0
93,16,0
94,15,0
95,14,0
96,13,0
97,14,0
98,13,0
99,12,0
100,11,0
101,10,0
102,9,0
103,10,0
104,11,0
105,12,0
106,13,0
107,14,0
108,14,1
109,14,2
110,14,3
111,14,2
112,14,1
113,14,0
114,15,0
115,16,0
116,17,0
117,18,0
118,19,0
119,20,0
120,19,0
121,20,0
122,21,0
123,22,0
124,23,0
125,22,0
126,23,0
127,24,0
128,25,0
129,24,0
130,23,0
131,24,0
132,23,0
133,22,0
134,23,0
135,24,0
136,25,0
137,26,0
138,25,0
139,24,0
140,23,0
141,24,0
142,23,0
143,24,0
144,25,0
145,26,0
146,25,0
147,24,0
148,23,0
149,24,0
150,25,0
151,24,0
152,23,0
153,24,0
154,23,0
155,24,0
156,25,0
157,26,0
158,25,0
159,26,0
160,27,0
161,28,0
162,27,0
163,28,0
164,28,1
165,28,0
166,29,0
167,30,0
168,31,0
169,30,0
170,31,0
171,32,0
172,33,0
173,34,0
174,33,0
175,34,0
176,33,0
177,32,0
178,33,0
179,32,0
180,31,0
181,30,0
182,31,0
183,32,0
184,31,0
185,32,0
186,33,0
187,34,0
188,33,0
189,32,0
190,33,0
191,32,0
192,31,0
193,32,0
194,33,0
195,34,0
196,33,0
197,34,0
198,35,0
199,34,0
200,33,0
201,32,0
202,33,0
203,34,0
204,35,0
205,35,1
206,35,2
207,35,1
208,35,2
209,35,3
210,35,4
211,35,5
212,35,6
213,35,7
214,34,7
215,33,7
216,34,7
217,33,7
218,34,7
219,33,7
220,32,7
221,31,7
222,30,7
223,31,7
224,30,7
225,31,7
226,32,7
227,33,7
228,34,7
229,35,7
230,35,6
231,35,7
232,35,8
233,35,9
234,35,8
235,35,7
236,34,7
237,35,7
238,36,7
239,37,7
240,36,7
241,35,7
242,35,8
243,35,9
244,35,8
245,35,7
246,36,7
247,35,7
248,36,7
249,35,7
250,34,7
251,35,7
252,36,7
253,37,7
254,36,7
255,37,7
256,38,7
257,37,7
258,38,7
259,37,7
260,36,7
261,35,7
262,34,7
263,33,7
264,34,7
265,35,7
266,35,8
267,35,7
268,34,7
269,35,7
270,36,7
271,37,7
272,38,7
273,37,7
274,38,7
275,39,7
276,38,7
277,37,7
278,36,7
279,37,7
280,36,7
281,35,7
282,36,7
283,37,7
284,36,7
285,35,7
286,36,7
287,37,7
288,36,7
289,37,7
290,36,7
291,35,7
292,35,6
293,35,7
294,36,7
295,35,7
296,36,7
297,35,7
298,35,8
299,35,7
300,35,6
301,35,7
302,35,6
303,35,7
304,35,8
305,35,9
306,35,10
307,35,9
308,35,10
309,35,9
310,35,8
311,35,7
312,34,7
313,35,7
314,35,8
315,35,9
316,35,10
317,35,11
318,35,12
319,35,13
320,35,14
321,35,13
322,35,14
323,36,14
324,35,14
325,35,15
326,35,16
327,35,17
328,35,18
329,35,19
330,35,20
331,35,21
332,36,21
333,35,21
334,34,21
335,35,21
336,36,21
337,35,21
338,36,21
339,35,21
340,35,22
341,35,21
342,34,21
343,33,21
344,34,21
345,33,21
346,32,21
347,33,21
348,34,21
349,33,21
350,32,21
351,31,21
352,30,21
353,29,21
354,28,21
355,29,21
356,28,21
357,28,22
358,28,23
359,28,24
360,28,23
361,28,22
362,28,21
363,27,21
364,26,21
365,25,21
366,24,21
367,23,21
368,22,21
369,23,21
370,24,21
371,23,21
372,24,21
373,23,21
374,22,21
375,21,21
376,21,22
377,21,21
378,20,21
379,21,21
380,21,22
381,21,23
382,21,24
383,21,25
384,21,26
385,21,27
386,21,28
387,20,28
388,21,28
389,20,28
390,21,28
391,21,29
392,21,30
393,21,31
