index,x_pos,y_pos,z_pos
0,0,1,-8
1,0,0,-8
2,1,0,-8
3,0,0,-8
4,0,1,-8
5,0,2,-8
6,0,3,-8
7,0,2,-8
8,0,1,-8
9,0,0,-8
10,1,0,-8
11,0,0,-8
12,0,1,-8
13,0,0,-8
14,1,0,-8
15,0,0,-8
16,0,1,-8
17,0,2,-8
18,0,1,-8
19,0,0,-8
20,1,0,-8
21,2,0,-8
22,3,0,-8
23,4,0,-8
24,3,0,-8
25,4,0,-8
26,3,0,-8
27,4,0,-8
28,5,0,-8
29,6,0,-8
30,7,0,-8
31,6,0,-8
32,7,0,-8
33,7,1,-8
34,7,2,-8
35,7,1,-8
36,7,2,-8
37,7,3,-8
38,7,4,-8
39,7,3,-8
40,7,4,-8
41,7,5,-8
42,7,4,-8
43,7,5,-8
44,7,6,-8
45,7,5,-8
46,7,6,-8
47,7,5,-8
48,7,4,-8
49,7,5,-8
50,7,6,-8
51,7,7,-8
52,7,8,-8
53,7,9,-8
54,7,8,-8
55,7,9,-8
56,7,10,-8
57,7,9,-8
58,7,10,-8
59,7,11,-8
60,7,12,-8
61,7,11,-8
62,7,12,-8
63,7,11,-8
64,7,12,-8
65,7,11,-8
66,7,12,-8
67,7,11,-8
68,7,12,-8
69,7,11,-8
70,7,12,-8
71,7,13,-8
72,7,14,-8
73,6,14,-8
74,7,14,-8
75,6,14,-8
76,5,14,-8
77,6,14,-8
78,5,14,-8
79,4,14,-8
80,3,14,-8
81,2,14,-8
82,1,14,-8
83,0,14,-8
84,1,14,-8
85,2,14,-8
86,1,14,-8
87,2,14,-8
88,1,14,-8
89,0,14,-8
90,1,14,-8
91,2,14,-8
92,3,14,-8
93,4,14,-8
94,5,14,-8
95,6,14,-8
96,5,14,-8
97,6,14,-8
98,5,14,-8
99,6,14,-8
100,7,14,-8
101,7,13,-8
102,7,14,-8
103,7,15,-8
104,7,16,-8
105,7,17,-8
106,7,16,-8
107,7,17,-8
108,7,18,-8
109,7,19,-8
110,7,18,-8
111,7,19,-8
112,7,20,-8
113,7,21,-8
114,8,21,-8
115,9,21,-8
116,8,21,-8
117,9,21,-8
118,8,21,-8
119,7,21,-8
120,7,22,-8
121,7,23,-8
122,7,24,-8
123,7,23,-8
124,7,22,-8
125,7,23,-8
126,7,24,-8
127,7,25,-8
128,7,26,-8
129,7,27,-8
130,7,28,-8
131,7,29,-8
132,7,30,-8
133,7,29,-8
134,7,28,-8
135,6,28,-8
136,5,28,-8
137,4,28,-8
138,5,28,-8
139,6,28,-8
140,7,28,-8
141,8,28,-8
142,7,28,-8
143,7,27,-8
144,7,28,-8
145,8,28,-8
146,9,28,-8
147,10,28,-8
148,11,28,-8
149,10,28,-8
150,9,28,-8
151,8,28,-8
152,9,28,-8
153,10,28,-8
154,11,28,-8
155,12,28,-8
156,13,28,-8
157,12,28,-8
158,13,28,-8
159,14,28,-8
160,15,28,-8
161,16,28,-8
162,15,28,-8
163,14,28,-8
164,14,27,-8
165,14,28,-8
166,14,29,-8
167,14,30,-8
168,14,29,-8
169,14,28,-8
170,13,28,-8
171,14,28,-8
172,14,29,-8
173,14,28,-8
174,15,28,-8
175,16,28,-8
176,15,28,-8
177,14,28,-8
178,14,27,-8
179,14,28,-8
180,14,29,-8
181,14,30,-8
182,14,31,-8
183,14,30,-8
184,14,31,-8
185,14,32,-8
186,14,33,-8
187,14,32,-8
188,14,31,-8
189,14,30,-8
190,14,31,-8
191,14,30,-8
192,14,31,-8
193,14,30,-8
194,14,31,-8
195,14,30,-8
196,14,29,-8
197,14,30,-8
198,14,31,-8
199,14,32,-8
200,14,33,-8
201,14,34,-8
202,14,35,-8
203,14,36,-8
204,14,35,-8
205,13,35,-8
206,14,35,-8
207,14,34,-8
208,14,33,-8
209,14,32,-8
210,14,33,-8
211,14,34,-8
212,14,35,-8
213,14,34,-8
214,14,35,-8
215,14,34,-8
216,14,35,-8
217,14,36,-8
218,14,37,-8
219,14,38,-8
220,14,39,-8
221,14,40,-8
222,14,39,-8
223,14,40,-8
224,14,41,-8
225,14,40,-8
226,14,41,-8
227,14,42,-8
228,15,42,-8
229,14,42,-8
230,15,42,-8
231,16,42,-8
232,15,42,-8
233,16,42,-8
234,17,42,-8
235,16,42,-8
236,15,42,-8
237,16,42,-8
238,17,42,-8
239,18,42,-8
240,19,42,-8
241,20,42,-8
242,19,42,-8
243,20,42,-8
244,21,42,-8
