index,x_pos,y_pos,z_pos
0,25,0,-6
1,24,0,-6
2,23,0,-6
3,22,0,-6
4,21,1,-6
5,21,1,-6
6,22,0,-6
7,23,0,-6
8,24,0,-6
9,24,0,-6
10,24,0,-6
11,24,0,-6
12,24,0,-6
13,24,0,-6
14,23,0,-6
15,23,0,-6
16,23,0,-6
17,22,0,-6
18,21,1,-6
19,21,2,-6
20,21,2,-6
21,21,1,-6
22,21,1,-6
23,21,2,-6
24,21,3,-6
25,21,3,-6
26,21,3,-6
27,21,4,-6
28,21,5,-6
29,21,6,-6
30,21,6,-6
31,21,6,-6
32,21,7,-6
33,21,7,-6
34,21,7,-6
35,21,7,-6
36,21,7,-6
37,21,7,-6
38,20,7,-6
39,19,7,-6
40,18,7,-6
41,17,7,-6
42,16,7,-6
43,15,7,-6
44,15,7,-6
45,16,7,-6
46,17,7,-6
47,17,7,-6
48,17,7,-6
49,18,7,-6
50,18,7,-6
51,17,7,-6
52,16,7,-6
53,15,7,-6
54,14,7,-6
55,14,7,-6
56,14,7,-6
57,14,7,-6
58,15,7,-6
59,15,7,-6
60,14,7,-6
61,13,7,-6
62,12,7,-6
63,11,7,-6
64,11,7,-6
65,11,7,-6
66,10,7,-6
67,10,7,-6
68,10,7,-6
69,9,7,-6
70,8,7,-6
71,7,7,-6
72,6,7,-6
73,5,7,-6
74,4,7,-6
75,4,7,-6
76,5,7,-6
77,5,7,-6
78,5,7,-6
79,5,7,-6
80,4,7,-6
81,3,7,-6
82,3,7,-6
83,4,7,-6
84,4,7,-6
85,3,7,-6
86,3,7,-6
87,3,7,-6
88,3,7,-6
89,3,7,-6
90,3,7,-6
91,4,7,-6
92,4,7,-6
93,3,7,-6
94,2,7,-6
95,2,7,-6
96,3,7,-6
97,3,7,-6
98,2,7,-6
99,1,7,-6
100,0,8,-6
101,0,9,-6
102,0,9,-6
103,0,9,-6
104,0,9,-6
105,0,9,-6
106,0,9,-6
107,0,8,-6
108,1,7,-6
109,1,7,-6
110,1,7,-6
111,1,7,-6
112,0,7,-6
113,0,6,-6
114,0,5,-6
115,0,5,-6
116,0,5,-6
117,0,5,-6
118,0,5,-6
119,0,4,-6
120,0,3,-6
121,0,3,-6
122,0,4,-6
123,0,4,-6
124,0,4,-6
125,0,5,-6
126,0,5,-6
127,0,5,-6
128,0,5,-6
129,0,4,-6
130,0,3,-6
131,0,3,-6
132,0,3,-6
133,0,3,-6
134,0,4,-6
135,0,4,-6
136,0,3,-6
137,0,2,-6
138,0,2,-6
139,0,2,-6
140,0,2,-6
141,0,2,-6
142,0,1,-6
143,1,0,-6
144,2,0,-6
145,2,0,-6
146,1,0,-6
147,0,1,-6
148,0,2,-6
149,0,3,-6
150,0,4,-6
151,0,5,-6
152,0,6,-6
153,0,7,-6
154,0,7,-6
155,0,6,-6
156,0,6,-6
157,0,7,-6
158,0,8,-6
159,0,8,-6
160,1,7,-6
161,1,7,-6
162,1,7,-6
163,2,7,-6
164,3,7,-6
165,4,7,-6
166,4,7,-6
167,3,7,-6
168,3,7,-6
